GeneSymbol	A21_05_C3_P5_493883	A21_05_C3_P5_345125	A21_05_C3_P5_850110	A21_05_C3_P5_816526	A21_05_C3_P5_92064	A21_05_C3_P5_558392	A21_05_C3_P5_868588	A21_05_C3_P5_4302	A21_05_C3_P5_599498	A21_05_C3_P5_803125	A21_05_C3_P5_391515	A21_05_C3_P5_780528	A21_05_C3_P5_227561	A21_05_C3_P5_555196	A21_05_C3_P5_317321	A21_05_C3_P5_590491	A21_05_C3_P5_248342	A21_05_C3_P5_254486	A21_05_C3_P5_618931	A21_05_C3_P5_868547	A21_05_C3_P5_52551	A21_05_C3_P5_239993	A21_05_C3_P5_640238	A21_05_C3_P5_560171	A21_05_C3_P5_37977	A21_05_C3_P5_133498	A21_05_C3_P5_244273	A21_05_C3_P5_445179	A21_05_C3_P5_24360	A21_05_C3_P5_703710	A21_05_C3_P5_207384	A21_05_C3_P5_386145	A21_05_C3_P5_86538	A21_05_C3_P5_472060	A21_05_C3_P5_93498	A21_05_C3_P5_191838	A21_05_C3_P5_377349	A21_05_C3_P5_753539	A21_05_C3_P5_843002	A21_05_C3_P5_158991	A21_05_C3_P5_570941	A21_05_C3_P5_238160	A21_05_C3_P5_296727	A21_05_C3_P5_312382	A21_05_C3_P5_707030	A21_05_C3_P5_169070	A21_05_C3_P5_709456	A21_05_C3_P5_854843	A21_05_C3_P5_751717	A21_05_C3_P5_277264	A21_05_C3_P5_660606	A21_05_C3_P5_131155	A21_05_C3_P5_257483	A21_05_C3_P5_838518	A21_05_C3_P5_612739	A21_05_C3_P5_694894	A21_05_C3_P5_734349	A21_05_C3_P5_583408	A21_05_C3_P5_422936	A21_05_C3_P5_363620	A21_05_C3_P5_431292	A21_05_C3_P5_543877	A21_05_C3_P5_411884	A21_05_C3_P5_261464	A21_05_C3_P5_93643	A21_05_C3_P5_269933	A21_05_C3_P5_736975	A21_05_C3_P5_862851	A21_05_C3_P5_350862	A21_05_C3_P5_95740	A21_05_C3_P5_481069	A21_05_C3_P5_417826	A21_05_C3_P5_38038	A21_05_C3_P5_530264	A21_05_C3_P5_785863	A21_05_C3_P5_219225	A21_05_C3_P5_460537	A21_05_C3_P5_230547	A21_05_C3_P5_393721	A21_05_C3_P5_686573	A21_05_C3_P5_759037	A21_05_C3_P5_144471	A21_05_C3_P5_590025	A21_05_C3_P5_15041	A21_05_C3_P5_106303	A21_05_C3_P5_491295	A21_05_C3_P5_54991	A21_05_C3_P5_110220	A21_05_C3_P5_255874	A21_05_C3_P5_352643	A21_05_C3_P5_522106	A21_05_C3_P5_606516	A21_05_C3_P5_404182	A21_05_C3_P5_256329	A21_05_C3_P5_381490	A21_05_C3_P5_98918	A21_05_C3_P5_47901	A21_05_C3_P5_177457	A21_05_C3_P5_562682	A21_05_C3_P5_120023	A21_05_C3_P5_94062	A21_05_C3_P5_407431	A21_05_C3_P5_443710	A21_05_C3_P5_742617	A21_05_C3_P5_123213	A21_05_C3_P5_668548	A21_05_C3_P5_287479	A21_05_C3_P5_878834	A21_05_C3_P5_780339	A21_05_C3_P5_7754	A21_05_C3_P5_278466	A21_05_C3_P5_739379	A21_05_C3_P5_854714	A21_05_C3_P5_644287	A21_05_C3_P5_788486	A21_05_C3_P5_320558	A21_05_C3_P5_618150	A21_05_C3_P5_164454	A21_05_C3_P5_312531	A21_05_C3_P5_304743	A21_05_C3_P5_564946	A21_05_C3_P5_118576
MAN1C1	0.000	0.284	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MANF	1.059	0.971	0.855	0.572	1.414	0.979	1.132	1.374	0.629	0.393	0.894	0.392	1.226	0.000	0.000	0.930	0.723	0.734	0.000	1.186	0.456	0.765	0.752	1.021	0.461	0.466	0.791	0.482	0.000	1.059	0.480	1.688	0.489	0.814	1.081	0.501	1.084	0.502	0.000	0.831	0.502	0.848	0.834	0.840	0.518	0.000	1.099	0.517	2.284	0.000	1.118	0.554	0.870	0.524	0.000	0.000	1.505	0.000	1.996	0.000	0.880	0.544	0.546	0.895	0.549	1.148	0.548	0.543	0.893	1.165	0.000	0.551	0.915	0.560	0.549	0.000	0.000	0.933	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.579	0.590	1.230	1.629	0.594	0.587	0.000	0.000	0.000	0.605	0.000	0.611	0.602	0.988	1.259	0.620	0.000	1.313	1.275	0.000	0.000	0.635	0.633	0.650	0.000	1.043	1.711	0.000	1.035	0.000	0.000	1.117	1.130	0.725	1.166	0.000	0.000
MAP1B	1.718	1.832	1.213	1.795	2.127	1.125	1.474	0.352	1.012	1.982	1.674	2.045	2.107	1.941	2.071	2.272	1.997	2.211	1.443	2.560	2.659	1.722	2.241	1.021	2.495	1.639	2.032	1.246	2.197	1.420	2.263	1.688	2.219	1.257	2.488	1.589	1.927	1.450	2.184	2.012	2.377	2.121	1.926	2.109	1.623	2.710	1.467	1.959	1.749	1.627	2.592	2.663	1.641	2.428	2.001	1.992	2.443	2.094	2.321	2.253	1.995	2.531	2.273	2.108	1.812	2.465	2.699	2.530	2.105	1.929	2.124	1.816	2.138	2.049	2.352	1.708	1.586	1.857	1.754	1.725	1.409	1.728	2.071	2.543	1.756	1.871	1.892	1.616	2.383	2.374	1.434	2.028	2.461	2.149	1.465	1.671	2.329	1.459	2.329	2.044	1.490	2.742	1.861	1.667	1.704	2.197	1.297	2.775	2.404	1.975	2.122	1.863	2.229	1.996	2.037	2.728	1.631	1.986	1.434	1.876	2.188	2.243
MAP2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.456	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.814	0.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.537	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.551	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MAP3K21	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MAP3K5	0.000	0.000	0.291	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.461	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.527	0.000	0.000	0.533	0.000	0.000	0.000	0.000	0.000	0.544	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MAP7D3	0.592	0.685	0.700	0.327	0.000	0.000	1.474	0.352	1.012	1.358	0.894	0.392	0.675	0.913	0.402	0.705	0.426	0.433	0.000	0.759	0.456	0.765	0.445	0.465	0.000	0.466	1.390	1.410	0.000	0.487	1.046	0.488	1.062	1.257	1.280	0.000	0.000	0.835	0.000	0.000	0.000	0.848	1.448	0.000	0.518	1.100	0.847	0.856	0.518	0.520	0.000	0.554	0.870	0.524	0.000	0.878	0.000	0.000	0.000	0.000	1.782	0.000	0.546	0.000	0.000	0.000	1.366	0.894	0.000	0.904	0.552	0.000	0.000	0.917	0.549	0.561	0.937	0.000	0.000	0.570	0.000	0.934	0.000	0.000	0.587	0.944	0.000	1.230	0.000	0.000	0.587	0.975	1.245	0.611	0.605	0.623	0.611	0.000	0.000	0.000	0.620	0.000	0.645	0.000	0.641	1.022	0.635	0.000	0.000	0.000	1.043	0.000	0.653	1.035	0.000	1.113	0.707	0.000	0.000	0.744	1.182	0.000
MARCKS	2.263	2.383	2.048	2.366	2.336	2.357	2.514	1.476	2.024	2.408	2.450	1.578	1.914	1.867	2.006	2.825	2.305	2.084	1.766	2.367	2.530	2.477	2.241	1.747	2.007	2.724	2.472	2.055	2.050	2.815	2.677	2.405	1.424	2.608	2.768	2.592	2.436	1.928	2.107	1.821	2.177	2.663	2.543	2.500	2.213	2.199	2.120	2.050	2.413	1.865	2.361	2.431	2.304	2.739	2.456	2.384	2.164	2.327	2.088	2.091	2.716	2.827	2.413	2.409	1.925	2.465	1.810	2.015	1.912	2.122	2.286	2.656	2.440	2.906	2.839	2.625	1.862	2.401	2.278	2.070	1.730	1.857	2.590	1.980	1.885	2.416	1.763	2.290	1.779	2.210	2.500	2.028	2.388	2.972	2.469	1.822	2.729	2.132	2.408	2.406	2.261	2.685	2.547	1.817	2.541	2.292	2.289	2.525	2.750	1.844	1.542	1.994	0.653	2.682	2.788	2.321	1.815	2.239	2.455	2.287	2.052	2.106
MARCKSL1	0.730	0.838	0.516	0.572	0.575	0.000	0.351	0.000	0.000	0.393	0.674	0.392	0.000	0.403	0.000	0.000	0.723	0.000	0.431	0.995	0.456	0.454	0.000	0.000	0.461	0.782	0.791	0.000	0.480	0.487	0.802	0.000	0.000	0.000	0.500	0.000	0.000	0.000	0.000	0.499	0.000	0.000	0.502	0.000	0.000	0.512	0.511	1.310	0.000	0.520	0.000	0.554	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.140	0.000	0.000	0.546	0.000	0.902	1.148	0.000	0.894	0.543	0.000	0.552	0.551	0.559	0.000	0.549	0.000	0.000	0.000	0.000	0.000	0.573	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.971	0.000	0.000	0.000	0.000	0.611	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.636	0.635	0.000	0.000	0.000	0.000	0.000	0.000	0.646	0.000	0.000	0.000	1.130	0.000	0.000	0.000	0.790
MARK1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MASP1	0.592	0.000	0.000	0.000	0.000	0.000	0.000	0.352	0.000	0.000	0.674	0.000	0.000	0.403	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.487	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.524	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.543	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.602	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.790
MASTL	0.000	0.000	0.000	0.000	0.000	0.810	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.413	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.487	0.480	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.511	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.537	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.551	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.571	0.000	0.000	0.000	0.590	0.000	0.000	0.000	0.587	0.000	0.000	0.000	0.000	0.000	0.611	0.602	0.000	0.000	0.000	0.000	0.000	0.620	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MATN2	0.000	0.000	0.000	0.327	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.579	0.000	0.000	0.000	0.000	0.000	0.602	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MBOAT2	0.000	0.284	0.000	0.770	0.329	0.810	0.611	0.352	0.629	0.393	0.393	0.673	0.894	0.403	0.000	0.413	0.000	1.152	0.431	0.995	1.005	0.000	0.986	0.000	0.000	0.466	0.000	0.482	0.000	0.487	0.000	0.488	0.489	0.000	0.500	0.501	0.502	0.502	0.000	0.000	0.834	0.511	0.502	0.000	0.000	0.000	0.847	1.109	0.000	0.000	0.522	0.000	0.527	0.866	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.544	0.000	0.895	0.549	0.890	0.000	0.000	0.543	0.551	0.552	0.905	0.559	0.560	0.000	0.561	0.000	0.000	0.586	0.000	0.000	0.000	0.000	0.000	0.954	0.579	0.590	0.000	0.599	0.000	0.587	0.602	0.601	0.000	0.000	0.623	0.000	0.000	0.611	0.610	0.620	0.617	0.000	1.275	0.000	0.000	1.020	0.633	0.000	0.000	0.000	0.645	0.000	0.000	0.000	0.000	0.707	0.000	0.000	0.000	0.000	0.000
MBP	0.238	0.685	0.989	0.934	0.773	0.348	0.351	0.000	0.363	1.358	0.894	0.000	0.000	0.000	0.402	1.114	0.426	0.433	0.431	0.450	0.456	0.454	0.000	0.000	0.000	0.000	1.390	1.050	1.046	0.487	0.000	0.000	0.000	0.814	1.081	0.833	0.502	0.000	0.505	0.000	0.502	0.000	0.000	0.000	0.518	1.100	1.299	0.000	0.000	0.000	0.522	0.000	0.527	0.000	1.346	0.000	0.876	0.537	0.000	0.883	0.000	0.000	0.000	0.000	0.902	0.890	0.900	0.543	0.893	0.551	0.905	1.165	1.177	0.000	0.549	0.000	0.575	1.198	0.586	0.570	0.000	0.572	0.000	1.207	0.954	0.000	0.959	0.000	0.000	0.000	0.955	0.975	0.601	0.987	0.000	1.822	0.611	0.000	0.000	1.259	0.620	0.000	0.645	0.000	0.641	0.000	0.635	0.633	0.000	0.000	0.000	0.000	0.000	0.000	0.669	1.113	0.000	0.000	1.141	0.744	0.757	0.790
MCAM	0.000	0.000	0.000	0.327	0.329	0.000	0.000	0.000	0.629	0.674	0.000	0.000	0.393	0.403	0.000	0.413	0.000	1.152	0.000	0.450	0.000	0.000	0.000	1.021	0.000	0.466	0.472	0.000	0.802	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.834	0.000	0.000	0.848	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.524	0.000	0.000	0.000	0.000	0.000	0.536	0.000	0.000	0.000	0.000	0.549	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.901	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.587	0.000	0.000	0.000	0.000	0.594	0.587	0.000	0.000	0.000	0.000	0.623	0.000	0.000	0.988	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.635	0.000	0.645	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MCM10	0.000	0.000	0.000	0.000	0.000	0.000	0.351	0.000	0.000	0.000	0.000	0.000	0.393	0.690	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.511	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.537	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.551	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.587	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MCM2	0.000	0.000	0.291	0.000	0.000	0.348	0.000	0.000	0.000	0.000	0.000	0.000	0.393	1.248	0.000	0.000	0.426	0.000	1.443	0.000	0.000	0.000	0.445	0.000	0.000	0.000	0.000	0.000	0.802	0.000	0.480	0.488	0.000	0.000	0.000	0.000	0.000	0.835	0.000	0.499	0.502	0.511	0.000	0.505	0.000	0.512	0.000	1.109	0.518	0.520	0.522	0.000	0.000	0.000	0.000	0.000	0.531	0.885	0.535	0.536	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.551	0.000	0.000	0.000	0.560	0.000	0.000	0.000	0.572	0.000	0.570	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.623	0.000	0.000	0.611	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.652	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MCM3	0.000	0.971	0.855	0.770	0.773	0.810	0.000	0.352	0.629	0.000	0.000	0.392	0.393	1.382	0.000	0.930	0.953	0.000	0.962	1.605	0.456	1.002	0.445	0.465	0.775	1.022	0.000	0.000	0.000	0.487	0.480	1.061	0.489	0.814	0.500	0.000	0.000	1.084	0.000	0.000	0.834	0.000	0.000	0.000	0.000	0.848	0.511	1.310	1.110	0.000	0.522	0.554	1.328	0.000	0.537	0.533	0.000	0.885	0.535	0.536	0.000	0.000	0.897	0.000	0.549	0.890	0.000	0.000	0.543	0.000	0.000	0.905	0.559	0.000	0.549	0.000	0.000	0.000	0.000	0.570	0.000	0.572	0.000	1.738	0.587	0.000	0.000	0.961	0.000	0.594	0.587	0.000	0.000	0.611	0.000	0.000	0.988	1.246	0.000	1.259	0.000	0.000	1.033	0.000	0.000	1.022	0.635	0.000	0.000	0.635	1.043	0.645	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.744	0.000	0.000
MCM4	0.238	0.838	0.700	0.934	0.938	0.810	0.351	0.352	0.629	0.393	0.000	0.673	0.675	1.248	0.000	0.413	0.953	0.000	1.443	1.605	1.005	1.492	0.752	0.465	0.775	0.782	1.032	0.000	0.480	0.813	0.000	0.488	1.259	1.422	1.280	1.281	0.000	0.835	0.505	0.499	0.502	1.099	1.083	0.505	0.000	1.100	0.000	1.478	1.110	0.860	0.522	1.170	1.125	1.121	0.000	0.533	0.000	1.662	0.535	0.000	0.000	0.000	0.897	0.000	0.902	0.890	0.900	0.543	0.893	0.000	0.000	0.905	0.000	0.560	0.000	0.000	0.000	0.000	0.953	1.196	0.000	0.572	0.571	0.577	0.000	0.579	1.228	0.000	0.971	0.594	1.223	0.975	0.000	0.611	0.000	0.000	0.611	0.000	0.000	0.986	0.000	0.000	0.000	1.000	0.000	0.636	0.635	0.633	0.000	1.298	0.652	1.034	0.000	0.646	0.000	0.000	0.000	1.130	0.725	1.166	0.000	0.000
MCM5	0.000	0.000	0.291	0.327	0.773	0.348	0.000	0.352	0.000	0.393	0.000	0.000	1.074	0.403	0.000	0.930	0.000	0.000	0.731	0.759	0.000	0.454	0.000	0.465	0.461	0.466	0.000	0.805	0.000	0.000	0.000	0.000	0.489	0.000	0.000	0.501	0.000	0.502	0.000	0.000	0.502	0.511	0.000	0.000	0.000	0.000	0.000	0.000	0.857	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.531	1.142	0.000	0.000	0.000	0.000	0.000	0.000	0.549	0.890	0.000	0.000	0.000	0.551	0.000	0.551	0.559	0.000	0.549	0.000	0.000	0.000	0.000	0.000	0.573	0.000	0.000	0.577	0.000	0.000	1.228	0.000	0.599	0.594	0.000	0.000	0.601	0.611	0.605	0.000	0.000	0.000	0.988	0.000	0.000	0.000	1.313	0.000	0.000	0.636	0.000	0.000	0.000	0.000	0.000	1.034	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.790
MCM6	0.000	0.685	0.291	0.000	0.000	0.605	0.000	0.000	0.629	0.674	0.000	0.392	0.894	0.690	0.402	0.000	0.723	0.000	0.962	1.186	1.197	0.765	0.986	0.000	0.000	0.466	0.791	0.482	0.480	0.000	0.000	0.815	0.000	0.000	0.000	0.000	0.000	0.000	0.505	0.000	0.502	0.000	0.000	0.840	0.000	0.000	0.511	0.517	0.518	0.860	0.522	0.909	0.000	0.000	0.000	0.000	0.000	0.537	0.000	0.000	0.880	0.000	0.546	0.000	0.549	0.000	0.000	0.543	0.000	0.904	0.000	0.000	0.915	0.560	0.901	0.561	0.000	0.000	0.000	0.000	0.000	0.572	0.571	0.577	0.587	0.000	0.000	0.000	0.000	0.594	0.000	0.602	0.000	0.611	0.000	0.623	0.000	0.000	0.000	0.000	0.000	0.996	0.645	1.275	0.000	0.636	0.635	0.000	0.000	0.635	0.000	1.034	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.790
MCM7	0.592	0.838	0.516	0.572	0.000	0.000	0.000	0.818	0.363	0.000	0.000	0.392	0.393	0.690	0.402	0.413	0.953	0.000	0.731	0.759	0.768	1.002	0.752	1.021	0.461	1.022	0.472	0.000	1.046	0.000	0.802	0.000	0.489	0.488	0.000	0.833	0.834	0.835	0.505	0.499	0.502	0.848	0.834	0.000	0.000	0.512	0.000	0.000	0.857	0.520	0.000	0.554	0.870	0.524	0.537	0.533	0.531	1.517	0.535	0.000	0.000	0.000	0.000	0.000	1.162	1.148	0.548	0.000	0.000	0.000	0.000	0.551	0.000	0.000	0.000	0.000	0.575	0.000	0.586	0.570	0.000	0.000	0.571	0.577	0.000	0.000	0.590	0.000	0.599	0.000	0.000	0.602	0.000	0.000	0.605	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.645	0.000	1.029	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.067	0.000	0.000	0.717	0.000	0.000	0.000	0.000
MCM8	0.000	0.284	0.000	0.000	0.000	0.348	0.000	0.000	0.629	0.000	0.393	0.000	0.000	0.403	0.000	0.000	0.000	0.433	0.000	0.000	0.000	0.000	0.445	0.465	0.000	0.466	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.505	0.499	0.502	0.000	0.000	0.000	0.000	0.512	0.511	0.000	0.518	0.000	0.522	0.000	0.870	0.000	0.537	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.543	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.571	0.000	0.000	0.000	0.590	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.623	0.000	0.602	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.636	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.035	0.000	0.000	0.707	0.000	0.725	1.166	0.757	0.790
