GeneSymbol	A21_05_C3_P5_249126	A21_05_C3_P5_533481	A21_05_C3_P5_577716	A21_05_C3_P5_86722	A21_05_C3_P5_251707	A21_05_C3_P5_755486	A21_05_C3_P5_637637	A21_05_C3_P5_572742
GINS4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GJA1	1.633	1.337	1.694	1.068	0.829	1.492	1.849	0.987
GJB2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GLDN	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GLIPR1	1.041	1.337	1.494	0.821	0.000	1.121	0.000	0.000
GLIS2	0.377	0.384	0.401	0.492	0.000	0.867	0.000	0.611
GLS	1.191	0.384	0.000	1.265	0.000	0.524	0.568	0.000
GMNN	0.000	0.000	0.000	0.492	0.000	0.000	0.568	0.000
GNL3	0.377	1.054	0.401	1.265	0.829	0.524	0.568	0.987
GNPNAT1	0.000	0.660	0.908	0.492	0.000	0.524	1.192	0.611
GPAM	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GPAT2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GPAT3	0.000	0.000	0.908	0.000	0.000	0.000	0.000	0.000
GPATCH4	0.000	0.000	0.000	0.000	0.000	0.000	0.568	0.000
GPC3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GPC4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GPC6	1.191	1.556	1.376	1.431	0.829	0.867	0.928	1.260
GPNMB	1.041	0.877	0.687	0.492	0.498	1.492	0.000	0.987
GPR65	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GPR68	0.000	0.384	0.000	0.000	0.000	0.000	0.000	0.000
GPSM2	0.000	0.000	0.687	1.265	0.498	0.000	0.000	0.987
GPX3	0.000	0.000	0.687	0.000	0.000	0.000	0.000	0.611
GRB14	0.000	0.000	0.000	0.000	0.498	0.000	0.000	0.000
GREB1L	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GREM1	2.224	2.243	1.935	1.431	2.762	0.524	1.401	0.611
GREM2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GRIA1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GRIN2A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GRPEL1	0.000	0.000	0.401	0.000	0.000	0.000	0.568	0.000
GTPBP4	0.650	0.000	0.687	0.000	0.000	0.867	0.928	0.000
GTSE1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GUCY1A1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GUCY1A2	0.650	0.000	0.000	0.000	0.000	0.000	0.000	0.000
GUCY1B1	0.000	0.000	0.000	0.000	0.000	0.000	0.568	0.000
H19	0.650	1.452	2.186	0.492	3.336	0.524	3.453	0.000
H1F0	0.377	0.000	1.376	0.821	0.498	0.867	0.000	0.000
H2AFX	0.000	0.000	0.401	0.000	0.000	0.000	0.000	0.000
H2AFY2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
H2AFZ	1.191	0.384	0.401	0.821	0.498	0.524	0.928	0.611
HAS1	0.000	0.384	0.000	0.000	0.000	0.000	0.000	0.000
HAS2	0.000	0.000	1.376	1.572	1.275	1.492	0.928	0.611
HAT1	0.000	0.660	0.401	0.000	0.498	0.867	0.000	0.000
HAUS6	0.377	0.000	0.000	0.000	0.498	0.000	0.000	0.000
HBEGF	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HCG14	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HCLS1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HDGF	1.321	1.054	0.908	1.431	1.275	1.492	1.849	1.260
HEG1	0.650	1.054	1.090	0.492	0.000	1.121	0.000	1.930
HELLS	0.000	0.000	0.000	0.000	0.000	0.524	0.000	0.000
HERC5	0.000	0.384	0.000	0.000	0.000	0.000	0.000	0.000
HES1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HES6	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HEXD-IT1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HEYL	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HFM1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HGF	1.191	1.337	0.401	0.000	1.275	2.150	0.000	1.474
HHIP	0.000	0.000	0.000	0.000	0.000	0.000	0.928	0.000
HIF1A	1.871	1.205	0.908	1.696	0.829	1.324	1.192	0.987
HIST1H1A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HIST1H1B	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HIST1H1D	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HIST1H2AC	0.650	0.384	0.000	0.492	0.498	0.000	0.568	0.000
HIST1H4C	0.000	0.000	0.000	0.000	0.000	0.524	0.000	0.000
HJURP	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HK2	0.000	0.384	0.000	0.492	0.498	0.524	0.000	0.000
HLA-B	1.540	1.337	1.243	1.807	1.708	1.121	1.721	1.474
HMCN1	0.000	0.660	0.908	0.492	0.498	0.000	0.928	1.474
HMGA1	1.540	0.384	1.376	0.821	0.829	0.867	1.401	1.930
HMGA2	0.000	0.000	0.401	0.492	0.498	1.121	0.000	0.000
HMGB1	1.633	1.054	0.687	0.821	1.077	2.066	1.963	0.611
HMGB2	0.377	0.000	0.000	0.492	0.498	0.524	0.928	0.611
HMGB3	0.650	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HMGCR	0.000	0.660	0.687	0.000	0.000	0.524	0.568	0.000
HMGCS1	0.377	0.000	0.000	0.000	1.275	0.000	0.000	0.000
HMGN2	0.864	1.452	1.090	1.807	1.275	2.366	1.721	1.650
HMMR	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HMOX1	0.377	1.815	0.401	0.000	0.000	0.524	0.000	0.000
HNRNPA2B1	1.041	1.650	1.694	1.996	1.918	2.739	1.963	1.800
HNRNPA3	0.650	0.660	1.376	1.068	1.708	1.121	0.568	0.000
HNRNPA3P1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HNRNPAB	0.000	1.054	0.401	0.492	0.000	1.121	0.568	0.000
HNRNPD	1.041	1.054	0.401	1.431	1.275	0.867	0.928	0.000
HNRNPDL	0.864	0.384	0.000	1.431	0.000	1.492	0.568	0.987
HNRNPH3	0.377	0.384	0.687	0.492	0.498	0.524	0.000	0.611
HNRNPM	1.191	0.660	0.908	0.821	1.077	1.324	1.401	1.474
HOXA10	0.000	0.660	0.401	0.000	0.829	0.000	0.000	0.000
HOXA5	0.864	0.000	0.687	0.000	0.498	1.121	1.401	0.000
HOXA9	0.000	0.384	0.000	0.492	0.000	0.000	0.000	0.000
HOXB-AS3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HOXB5	0.000	0.000	0.000	0.000	0.829	0.000	0.000	0.611
HOXB6	0.000	0.000	0.000	0.492	0.000	0.000	0.000	0.000
HOXB8	0.000	0.000	0.000	0.492	0.000	0.000	0.000	0.000
HOXC10	0.650	0.660	0.000	0.492	0.829	0.000	0.928	0.000
HOXC8	1.041	1.054	0.687	1.572	1.275	1.636	1.192	1.260
HOXD1	0.000	0.000	0.401	0.000	0.000	0.000	0.000	0.000
HS3ST3A1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HSP90AA1	2.484	2.021	2.004	2.414	1.708	2.066	1.849	2.242
HSP90AB1	2.119	2.337	1.694	2.355	2.802	2.783	2.392	1.800
HSP90B1	2.224	2.981	2.430	2.708	3.133	3.108	3.075	2.612
HSPA1A	0.377	0.384	0.000	0.821	0.000	0.000	0.928	0.000
HSPA1B	0.000	0.384	0.000	0.492	0.498	0.524	0.000	0.611
HSPA4L	0.000	1.054	0.687	0.000	0.000	0.524	0.000	0.611
HSPA5	0.864	1.957	1.494	1.265	2.306	1.975	2.880	2.242
HSPA8	1.540	1.650	1.599	2.079	1.818	1.636	1.192	1.260
HSPA9	0.377	0.877	0.687	0.000	0.000	1.121	0.000	0.000
HSPB6	2.912	2.381	2.850	2.664	1.441	1.874	2.065	1.930
HSPB7	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HSPD1	0.650	0.877	1.243	0.821	0.829	1.492	1.401	1.474
HSPE1	0.000	0.660	0.000	0.492	0.498	0.000	0.000	0.611
HSPH1	0.650	0.000	0.401	0.492	0.498	0.524	0.928	0.611
HTR2A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HTR7	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HTRA1	2.224	2.243	1.781	2.227	2.168	1.324	1.573	1.260
HTRA3	0.000	0.000	0.000	0.000	0.000	0.524	0.000	0.611
HUNK	0.000	0.000	0.000	0.000	0.000	0.000	0.928	0.000
HYDIN	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HYLS1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
HYOU1	0.000	0.384	0.687	0.000	0.000	0.524	0.568	0.000
ICAM1	0.650	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ICAM4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ID1	0.000	1.054	0.000	0.000	0.000	0.000	0.000	0.000
ID2	0.000	0.660	0.401	0.000	0.000	1.121	0.568	0.000
ID3	0.650	0.660	0.000	0.000	0.000	1.121	0.000	1.260
ID4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
IDI1	0.000	0.000	0.401	0.000	0.000	0.524	0.000	0.000
IER2	0.000	0.000	0.000	0.000	0.498	0.000	1.192	0.000
IER3	0.650	0.384	0.000	0.492	0.498	0.867	0.000	0.611
IER5L	0.377	0.384	0.000	0.821	0.498	0.000	0.568	0.611
IFI27	0.000	0.384	0.687	1.572	1.275	1.121	0.000	0.000
IFI44L	1.041	0.384	0.000	0.821	1.275	0.000	0.568	0.000
IFI6	2.119	0.877	1.090	2.355	2.239	1.324	0.000	2.045
IFIH1	0.000	0.000	0.401	0.000	0.498	0.000	0.000	0.000
IFIT1	0.377	0.000	0.000	0.492	0.498	0.524	0.000	0.000
IFIT2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
IFIT3	0.377	0.000	0.000	0.000	0.000	0.524	0.000	0.611
IGF1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
IGF2BP1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
IGF2BP3	0.650	0.660	0.000	0.000	0.000	0.524	1.192	0.000
IGFBP3	0.650	0.000	0.000	0.000	0.000	0.000	0.000	0.000
IGFBP4	2.558	2.646	2.791	2.708	2.008	1.762	3.237	2.548
IGFBP5	2.224	0.877	0.401	0.000	2.841	1.121	2.583	3.330
IGFBP6	1.191	1.556	1.494	0.000	0.498	0.867	1.192	1.260
IGFBP7	1.191	0.660	0.908	0.492	0.000	0.000	0.000	0.611
IGSF10	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
IGSF3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
IKZF2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
IL10	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
IL13RA2	0.377	1.736	0.687	0.000	0.000	0.000	0.000	0.000
IL1R1	1.191	1.205	1.376	1.431	1.275	1.324	0.568	0.000
IL1RN	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
IL32	0.000	0.384	0.000	0.000	0.000	0.000	0.000	0.000
IL33	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
IL6	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
IL6R	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
IL7R	0.000	0.000	0.000	0.492	0.000	0.000	0.000	0.000
ILDR2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
INCENP	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
INHBA	0.000	0.877	0.401	0.000	0.000	0.000	0.000	0.000
INPP4B	0.000	0.000	0.401	0.000	0.000	0.000	0.000	0.000
INPP5D	0.000	0.000	0.000	0.000	0.000	0.000	0.568	0.000
INSIG1	0.650	1.054	0.401	0.000	0.829	1.121	0.000	1.260
INSYN2B	0.650	0.000	0.401	0.492	0.000	0.000	1.401	0.000
IQCA1	0.000	0.000	0.000	0.000	0.000	0.524	0.000	0.000
IQGAP2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
IQGAP3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
IRF1	0.000	0.000	0.000	0.000	0.000	0.524	0.000	0.987
IRS2	0.000	0.000	0.000	0.492	0.000	0.000	0.000	0.611
ISG15	1.436	0.384	0.401	0.000	1.077	0.000	0.000	0.987
ISLR	2.003	0.384	1.494	0.000	1.441	0.524	1.573	1.260
ITGA1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ITGA11	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ITGA2	0.000	0.877	0.000	0.492	0.000	0.000	0.928	0.611
ITGA4	0.000	0.384	0.401	0.000	0.000	0.867	0.568	0.987
ITGAX	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ITGB3BP	0.000	0.660	0.000	0.000	0.000	0.524	0.000	0.000
ITGB8	0.000	0.000	0.000	0.000	0.000	0.524	0.000	0.000
ITGBL1	1.321	1.205	0.687	1.265	1.077	1.636	0.928	0.987
ITM2A	0.000	0.000	0.401	0.821	0.000	0.000	0.000	0.000
ITM2C	0.650	0.384	1.243	0.492	1.077	1.324	0.928	0.611
JAG2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
JAKMIP2	0.000	0.000	0.000	0.000	0.829	0.000	0.000	0.000
JAKMIP3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
JAM2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
JCAD	0.377	0.000	0.401	0.492	0.000	0.000	0.928	0.000
JPT1	0.377	0.384	0.401	0.492	0.000	0.524	0.000	0.611
JPT2	0.000	0.384	0.000	0.000	0.000	0.000	0.000	0.000
JUN	0.864	0.877	1.090	0.000	1.441	0.867	1.401	0.611
JUP	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KCND2	0.000	0.384	0.401	0.000	1.275	0.000	0.928	0.000
KCNE4	0.000	0.000	0.000	0.000	0.000	0.000	0.568	0.000
KCNH1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KCNJ2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KCNK2	0.000	0.000	0.000	0.821	0.000	0.000	0.000	0.000
KCNK6	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KCNMA1	0.000	0.000	0.401	0.000	0.000	0.524	0.000	0.000
KCNQ1OT1	0.000	0.000	0.000	0.000	0.000	0.000	0.928	0.611
KCNQ5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KCTD12	1.191	0.384	0.908	1.996	0.829	2.066	1.573	0.000
KHDRBS3	0.377	0.000	0.687	0.000	0.000	0.000	0.000	0.000
KIAA0586	0.000	0.384	0.000	0.000	0.000	0.000	0.000	0.611
KIF11	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KIF14	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KIF15	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KIF18A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KIF18B	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KIF20A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KIF20B	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KIF21A	0.000	0.384	0.000	0.000	0.000	0.000	0.568	0.000
KIF22	0.377	0.000	0.000	0.000	0.498	0.000	0.000	0.000
KIF23	0.377	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KIF26A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KIF26B	0.377	0.384	0.000	0.000	1.077	0.524	0.568	0.000
KIF2C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KIF4A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KIF5B	1.633	1.337	0.687	1.807	1.077	1.636	1.192	0.611
KIFC1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KLF10	0.000	0.384	0.000	0.000	0.000	0.867	0.000	0.611
KLF17	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KLF2	0.377	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KLF4	0.000	0.000	0.687	0.000	0.498	0.867	1.401	1.260
KLF6	1.041	0.877	1.243	0.492	1.441	0.867	1.401	1.930
KLHL24	0.650	0.877	0.000	0.000	0.498	0.000	0.000	0.000
KLHL34	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KMT5A	0.377	0.384	0.000	0.492	0.000	0.000	0.568	0.000
KNL1	0.377	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KNSTRN	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KNTC1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.611
KPNA2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KPNB1	1.321	1.054	1.861	1.572	1.275	1.492	2.157	0.987
KRT17	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KRT18	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KRT19	0.650	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KRT7	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KRT8	0.650	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KRTAP2-3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KYNU	0.000	0.000	0.908	0.000	0.000	0.524	0.000	0.000
L1TD1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LAG3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LAMA5	0.000	0.000	0.000	0.492	0.000	0.000	0.000	0.000
LAMC3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LBH	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LBR	0.377	0.000	0.000	0.821	0.000	0.000	0.928	0.611
LCE2A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LDHA	2.362	2.138	0.908	2.227	1.818	2.694	1.963	1.800
LDLR	0.000	0.660	0.401	0.492	0.000	0.867	0.000	0.000
LEF1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LFNG	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LGALS9	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LGMN	1.436	1.054	1.090	1.068	0.000	1.121	0.928	1.260
LGR4	0.000	0.000	0.000	0.492	0.000	0.000	0.000	0.000
LIG1	0.377	0.000	0.000	0.000	0.000	0.000	0.568	0.000
LIMA1	1.540	0.384	0.687	2.156	1.441	1.636	0.000	1.474
LIMCH1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LIN9	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LINC00517	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LINC00968	0.000	0.000	0.401	0.000	0.000	0.000	0.000	0.000
LINC01133	0.377	0.000	0.000	0.000	0.000	0.000	0.568	0.000
LINC01220	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LINC01305	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LINC01366	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LINC01503	0.377	0.000	0.000	1.068	0.000	0.000	0.000	0.000
LINC01705	0.377	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LINC01829	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LINC01929	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LINC02256	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LINC02266	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LINC02458	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LINC02489	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LINC02544	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LINC02795	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LIPC	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LIPG	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LMCD1	0.650	0.000	0.401	0.492	0.000	0.000	0.000	0.000
LMNB1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LMNB2	0.000	0.000	0.401	0.000	0.000	0.524	0.000	0.000
LMO4	1.191	1.337	0.908	1.068	0.498	0.524	0.568	1.800
LMO7	0.000	0.000	0.401	1.572	0.498	0.524	0.568	0.611
LMOD1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LONRF2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOX	2.224	1.815	1.376	1.807	1.077	1.324	1.573	1.260
LOXL1	0.864	0.000	0.000	0.000	0.829	0.000	0.928	0.000
LOXL2	1.436	1.337	1.090	1.572	1.918	0.867	1.721	0.987
LOXL4	1.041	0.384	0.401	0.492	0.000	0.000	1.192	0.000
LPXN	1.436	1.205	0.000	0.000	1.077	0.000	0.000	0.000
LRATD1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LRRC15	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LRRC17	0.650	1.556	0.908	1.572	1.275	1.975	0.928	1.474
LRRC4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LRRC59	0.864	0.660	0.908	1.906	1.275	0.524	1.573	0.000
LRRIQ1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LRRN3	0.000	0.384	0.000	0.000	0.000	0.000	0.000	0.000
LRRN4CL	0.650	0.000	1.243	0.492	0.000	0.000	0.000	0.000
LRRTM2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LSAMP	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LSM5	0.000	0.384	0.401	0.492	0.000	0.000	0.000	0.000
LSP1	0.650	0.000	0.687	1.068	0.000	0.524	0.568	0.611
LTK	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LUM	1.719	2.081	1.781	2.227	2.427	1.762	2.922	2.480
LURAP1L	0.000	0.000	0.401	0.492	0.498	0.867	0.000	0.987
LXN	0.000	0.660	0.908	0.000	0.498	2.150	0.568	0.987
LYAR	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.611
LYPD1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LYPLAL1-AS1	0.377	0.000	0.000	0.000	0.498	0.000	0.000	0.000
MAB21L1	0.000	0.000	0.000	0.000	0.498	0.524	0.000	0.000
MACC1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MAD2L1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MAF	0.377	0.660	0.687	0.000	0.000	0.000	0.000	0.000
MAFB	0.000	0.877	0.401	0.000	1.275	0.524	0.568	0.000
MAGEL2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MALAT1	3.539	2.464	3.528	2.355	3.648	2.299	3.207	3.166
MALINC1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MALL	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MAMLD1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MAN1C1	0.000	0.000	0.401	0.000	0.000	0.000	0.000	0.000
MANF	0.864	0.384	0.000	0.821	0.000	1.121	0.000	0.611
MAP1B	1.798	1.054	0.687	1.572	1.918	2.227	1.963	1.930
MAP2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MAP3K21	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MAP3K5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MAP7D3	1.633	0.000	0.401	0.492	0.498	0.524	0.568	1.260
MARCKS	2.173	1.736	1.494	2.935	1.918	1.874	2.583	2.242
MARCKSL1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.611
MARK1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MASP1	0.000	0.384	0.401	0.000	0.000	0.000	0.928	0.611
MASTL	0.377	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MATN2	0.000	0.000	0.000	0.000	0.000	0.524	0.000	0.000
MBOAT2	0.377	0.384	0.000	0.000	0.829	0.524	0.000	0.000
MBP	0.650	0.000	0.401	0.000	0.000	0.000	0.568	0.000
MCAM	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MCM10	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MCM2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MCM3	0.000	0.000	0.000	0.492	0.498	0.000	0.568	0.000
MCM4	0.000	0.000	0.000	0.000	1.077	0.000	0.568	0.000
MCM5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MCM6	0.000	0.000	0.000	0.000	0.000	0.000	0.568	0.611
MCM7	0.000	0.384	0.687	0.492	0.498	0.000	0.000	0.000
MCM8	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MDK	0.377	0.660	0.687	0.000	0.000	0.000	0.568	1.260
MDM2	1.191	1.054	0.908	0.000	0.829	0.000	0.568	0.000
MEDAG	1.041	0.384	0.401	0.492	0.000	0.000	0.000	0.000
MEF2C	0.000	0.000	0.000	0.000	1.077	0.524	0.000	0.000
MEG3	0.650	0.877	1.494	1.068	0.498	0.000	0.000	0.987
MELK	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MEOX2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MEST	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MET	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MEX3A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MFAP4	0.864	0.660	2.186	1.572	2.368	1.636	1.573	2.407
MFAP5	2.119	1.736	1.694	1.265	0.000	0.000	1.721	0.987
MFGE8	0.650	0.660	0.687	0.492	0.498	0.000	0.000	0.000
MGLL	0.000	0.000	0.000	0.000	0.498	0.000	0.000	0.000
MGP	0.000	0.000	0.000	0.000	0.000	2.299	0.000	1.650
MIAT	0.000	0.000	0.000	0.000	0.498	0.000	0.000	0.000
MICAL2	1.719	0.660	1.243	1.068	0.829	1.121	1.192	0.611
MIR1244-2	0.864	1.205	1.243	1.431	2.168	2.066	1.849	0.611
MIR34AHG	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MIR503HG	0.000	0.000	1.376	0.000	1.583	0.524	1.192	1.260
MIS18A	0.000	0.000	0.401	0.000	0.000	0.000	0.000	0.000
MIS18BP1	0.000	0.000	0.000	0.492	0.829	0.000	0.000	0.611
MIXL1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MKI67	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.611
MLLT11	0.000	0.000	0.401	0.492	0.000	0.000	0.000	0.000
MME	2.119	0.660	0.908	1.572	1.077	0.524	1.192	0.987
MMP1	0.377	1.650	0.401	2.079	0.000	2.066	1.721	0.000
MMP11	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MMP12	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
