GeneSymbol	A21_05_C2_P5_547431	A21_05_C2_P5_337729	A21_05_C2_P5_498700	A21_05_C2_P5_155179	A21_05_C2_P5_253661	A21_05_C2_P5_272388	A21_05_C2_P5_720968	A21_05_C2_P5_704908	A21_05_C2_P5_848048	A21_05_C2_P5_90718	A21_05_C2_P5_348548	A21_05_C2_P5_327815	A21_05_C2_P5_424332	A21_05_C2_P5_791691	A21_05_C2_P5_145849	A21_05_C2_P5_225293	A21_05_C2_P5_406074	A21_05_C2_P5_207512	A21_05_C2_P5_687585	A21_05_C2_P5_242886	A21_05_C2_P5_709878	A21_05_C2_P5_649221	A21_05_C2_P5_135495	A21_05_C2_P5_59774	A21_05_C2_P5_84401	A21_05_C2_P5_380396	A21_05_C2_P5_133740	A21_05_C2_P5_641140	A21_05_C2_P5_692756	A21_05_C2_P5_607908	A21_05_C2_P5_60139	A21_05_C2_P5_481331	A21_05_C2_P5_119369	A21_05_C2_P5_326724	A21_05_C2_P5_715751	A21_05_C2_P5_407386	A21_05_C2_P5_158243	A21_05_C2_P5_528187	A21_05_C2_P5_177426	A21_05_C2_P5_356739	A21_05_C2_P5_227915	A21_05_C2_P5_670721	A21_05_C2_P5_336096	A21_05_C2_P5_198191	A21_05_C2_P5_380412	A21_05_C2_P5_554898	A21_05_C2_P5_398110	A21_05_C2_P5_168775	A21_05_C2_P5_873045	A21_05_C2_P5_228860	A21_05_C2_P5_695337	A21_05_C2_P5_454130	A21_05_C2_P5_699545	A21_05_C2_P5_278127	A21_05_C2_P5_94568	A21_05_C2_P5_589954	A21_05_C2_P5_88102	A21_05_C2_P5_105720	A21_05_C2_P5_305904	A21_05_C2_P5_716187	A21_05_C2_P5_411151	A21_05_C2_P5_241513	A21_05_C2_P5_146322	A21_05_C2_P5_76224	A21_05_C2_P5_425470	A21_05_C2_P5_629564	A21_05_C2_P5_96264	A21_05_C2_P5_451337	A21_05_C2_P5_706412	A21_05_C2_P5_278735	A21_05_C2_P5_264093	A21_05_C2_P5_676162	A21_05_C2_P5_626788	A21_05_C2_P5_796873	A21_05_C2_P5_747335	A21_05_C2_P5_318512	A21_05_C2_P5_507421	A21_05_C2_P5_164980	A21_05_C2_P5_535888	A21_05_C2_P5_642834	A21_05_C2_P5_868352	A21_05_C2_P5_111697	A21_05_C2_P5_377677	A21_05_C2_P5_167734	A21_05_C2_P5_416816	A21_05_C2_P5_762794	A21_05_C2_P5_642404	A21_05_C2_P5_470132	A21_05_C2_P5_117531	A21_05_C2_P5_118735	A21_05_C2_P5_787868	A21_05_C2_P5_410651	A21_05_C2_P5_420608	A21_05_C2_P5_789103	A21_05_C2_P5_29457	A21_05_C2_P5_522007	A21_05_C2_P5_640301
NTN4	0.609	0.394	0.962	0.957	0.985	0.970	1.008	0.453	1.475	1.480	1.212	1.489	1.217	1.865	1.054	0.818	1.266	1.080	1.075	1.444	1.450	1.106	1.096	1.467	0.859	0.000	1.102	1.105	0.000	1.131	0.000	1.334	1.881	0.000	1.148	1.177	1.670	1.161	0.000	0.551	1.544	0.000	1.556	1.184	1.190	0.568	0.000	0.583	1.451	1.609	0.000	0.000	0.592	0.000	0.595	0.973	0.000	0.972	1.239	0.617	0.000	0.620	0.626	0.000	0.000	0.000	0.631	1.299	1.681	0.000	1.028	0.000	1.075	1.061	0.671	1.365	0.000	0.000	0.000	1.638	0.701	1.958	1.641	0.712	0.000	0.000	0.000	0.000	0.000	0.000	1.222	0.849	0.000	0.886	0.906	0.000	1.728
NTNG1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.519	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NTSR1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
NUAK1	0.000	0.676	0.000	0.727	0.985	0.000	0.000	0.764	0.446	0.756	0.000	1.191	0.466	1.036	0.000	0.490	0.493	0.000	0.827	1.079	0.502	0.515	0.509	0.000	0.000	0.000	0.000	0.853	0.529	0.875	1.338	0.875	0.000	0.533	0.000	0.558	0.000	0.000	1.160	0.551	0.552	0.917	0.558	0.563	0.567	0.000	0.000	0.000	0.597	0.587	0.000	0.000	0.962	0.594	0.000	0.973	0.000	0.600	0.597	0.000	0.000	0.620	0.626	0.000	0.000	0.629	1.292	0.000	0.000	0.000	0.000	0.653	1.075	0.000	0.000	0.000	0.000	0.698	1.103	0.000	0.701	0.700	0.713	0.712	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.933
NUCKS1	2.145	2.411	2.554	2.138	1.967	1.777	2.579	2.612	2.711	1.977	2.014	1.906	1.750	2.819	2.948	2.409	1.906	1.080	2.366	1.586	2.178	1.744	2.453	2.121	2.216	2.772	2.462	2.761	3.149	2.240	2.446	2.441	1.981	2.447	2.185	2.222	2.685	2.481	2.201	2.357	1.817	2.377	2.503	2.055	2.390	2.584	2.681	1.602	1.905	2.103	1.610	2.205	2.511	2.374	2.640	2.812	2.842	2.650	2.644	2.254	2.500	2.747	2.273	2.499	2.178	2.586	2.713	2.291	2.183	2.853	2.466	2.008	2.166	2.780	1.068	2.612	2.307	2.088	2.403	1.977	2.847	2.092	2.232	2.674	1.145	2.049	1.466	2.741	2.616	2.646	1.524	1.611	1.346	2.256	2.286	1.713	2.700
NUF2	0.000	0.896	0.731	1.143	0.000	0.000	0.458	0.000	0.446	0.756	1.019	0.453	0.000	0.794	0.809	1.568	0.000	0.500	0.497	0.499	0.000	0.000	0.845	0.000	0.859	0.519	0.000	0.515	0.000	1.131	0.000	0.875	0.527	0.533	1.353	0.000	1.149	0.548	0.000	0.551	0.905	0.917	1.384	0.563	0.000	0.568	1.392	0.583	0.000	0.000	0.588	0.961	1.443	0.000	0.000	0.000	1.230	0.600	0.597	0.000	1.276	1.274	0.626	0.000	0.000	0.629	1.292	0.000	1.011	0.646	0.000	0.000	0.000	0.665	0.671	0.679	0.000	0.000	1.391	1.123	0.000	0.000	0.713	0.712	0.000	0.755	0.000	1.229	1.569	0.000	0.000	0.000	0.885	0.886	0.906	0.000	0.000
NUP107	0.609	0.896	0.000	0.727	0.444	0.000	0.000	0.453	0.000	0.000	0.464	0.000	0.783	0.000	0.484	1.064	0.000	0.831	0.827	0.499	0.835	0.515	0.000	0.000	0.519	0.519	0.513	0.515	0.000	0.530	0.000	0.000	0.527	0.000	0.000	0.558	0.542	0.000	0.000	0.551	0.552	0.560	0.000	0.000	0.567	0.568	0.000	0.583	0.597	0.000	0.000	0.592	0.592	0.000	0.000	0.000	0.592	0.000	0.597	0.000	1.001	0.000	0.000	0.000	0.000	0.629	0.000	0.000	0.628	0.000	0.000	0.000	0.000	0.000	0.671	0.000	0.000	0.698	1.103	0.000	0.701	0.700	0.713	0.712	0.000	0.755	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.394	0.933
NUP50	0.814	0.000	1.149	0.727	0.751	0.000	0.000	0.000	1.475	0.448	0.779	1.000	1.217	1.036	0.809	1.902	1.068	0.500	1.439	1.079	0.835	0.515	0.509	1.099	0.000	0.000	0.513	0.000	0.873	1.131	0.532	0.875	0.000	1.135	1.669	0.558	1.354	0.548	1.366	0.000	0.000	0.560	0.914	0.563	0.567	0.929	0.000	0.583	0.000	0.000	0.000	1.442	0.000	0.964	0.595	0.973	0.000	1.243	0.597	0.617	0.621	0.000	0.626	1.000	1.008	0.629	0.631	0.636	0.000	1.712	0.000	0.653	0.676	1.061	1.068	0.679	0.696	0.698	1.797	0.000	0.000	0.000	1.125	0.712	0.728	0.000	0.000	1.532	1.263	0.000	0.000	0.000	0.885	0.000	0.906	0.922	0.000
OAS1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.871	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
OAS2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
OAS3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.068	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
OASL	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ODC1	0.609	0.394	0.731	1.143	0.985	0.435	0.458	1.001	1.338	0.756	1.019	1.000	0.466	0.794	0.809	1.064	1.068	1.445	0.497	1.711	0.835	0.854	0.000	1.467	0.000	1.483	0.000	0.000	0.529	0.875	0.532	0.000	0.871	0.533	0.000	1.177	1.149	0.548	0.900	1.165	1.166	0.560	1.384	1.392	1.571	0.568	0.000	1.217	1.451	0.955	0.956	1.230	0.592	1.770	1.235	0.000	0.961	0.972	0.969	0.617	0.621	1.274	0.000	0.000	1.008	1.289	0.631	1.977	1.287	1.035	0.641	1.044	1.075	0.665	0.000	1.768	1.102	0.698	1.391	0.711	1.109	1.397	1.416	0.000	1.145	0.755	1.170	0.000	0.000	1.218	0.787	0.000	0.885	0.886	1.373	0.000	0.000
OGFRL1	0.814	0.000	0.962	0.428	0.751	0.435	0.458	0.764	0.446	0.756	0.000	1.191	0.466	0.794	0.484	0.490	0.493	0.831	0.827	0.499	0.502	0.515	0.000	0.511	0.519	1.113	1.102	0.000	0.529	0.000	1.134	0.875	0.527	1.339	0.541	0.000	0.000	1.367	0.900	0.000	0.000	0.000	0.000	0.921	0.000	0.929	0.000	0.000	0.000	0.000	0.956	1.230	0.000	0.000	0.000	1.633	0.592	0.000	0.597	0.995	1.818	0.999	0.626	0.620	0.000	0.629	0.000	0.000	0.000	1.035	0.641	0.653	0.000	0.000	1.068	0.679	0.000	0.000	0.696	0.000	0.701	0.000	0.000	0.000	0.728	0.000	1.170	0.792	0.000	0.000	0.000	0.000	0.000	0.886	0.906	0.000	0.000
OGN	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
OIP5	0.350	0.394	0.431	0.000	0.751	0.000	0.000	0.000	0.446	0.448	0.779	0.000	0.000	0.474	0.000	0.000	0.000	0.500	0.000	0.499	0.000	0.000	0.845	0.848	0.000	0.860	0.000	0.515	0.529	0.530	0.532	0.530	0.000	0.533	0.000	0.915	0.542	0.548	0.000	0.000	0.000	0.560	0.000	0.000	0.567	0.000	0.000	0.583	0.000	0.587	0.000	0.000	0.592	0.000	0.000	0.000	1.230	0.600	0.000	0.000	0.000	0.999	0.000	0.620	0.626	0.000	0.000	0.000	0.000	0.000	0.000	0.653	0.000	0.665	0.671	0.679	0.000	0.000	1.103	0.000	0.000	0.000	0.000	0.712	0.000	0.000	0.747	0.000	0.000	0.000	0.000	0.000	0.000	0.886	0.000	0.000	0.000
OLFM1	0.609	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.453	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.532	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.592	0.000	0.000	0.000	1.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.665	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
OLFM2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
OLFML1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.464	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.530	0.000	0.000	0.000	0.000	0.000	0.558	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.620	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
OLFML2A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.466	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.558	0.542	0.901	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.962	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
OLFML2B	0.000	0.394	0.000	0.000	0.000	0.000	0.458	0.000	0.000	0.756	0.000	0.000	0.000	0.000	0.484	0.818	0.000	0.000	0.827	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.552	0.000	1.176	0.000	0.000	0.000	0.563	0.000	0.000	0.000	0.000	0.592	0.000	1.234	0.000	0.601	0.000	0.000	0.000	0.617	0.000	0.000	0.000	0.000	0.626	0.000	0.000	0.636	0.000	0.000	0.641	0.000	0.000	0.000	0.000	0.000	0.696	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.755	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.922	0.000
OMD	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
OMG	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ORC1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.464	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.515	0.000	0.000	0.000	0.000	0.000	0.000	0.529	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.601	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.628	0.646	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ORC6	0.000	0.000	0.000	0.428	0.751	0.738	0.000	0.453	0.446	0.000	0.000	0.000	0.000	0.474	0.809	0.000	0.000	0.500	0.827	0.000	0.835	0.000	0.845	0.000	0.519	1.113	0.000	0.853	0.000	0.000	0.878	0.000	0.527	0.533	0.000	0.558	0.000	0.000	0.000	0.551	0.905	0.000	0.000	0.563	0.567	0.000	0.000	0.583	0.597	0.587	0.000	0.000	0.592	0.594	0.595	0.601	0.000	0.000	0.597	0.995	0.000	0.000	1.008	0.000	0.000	0.629	0.631	0.000	0.000	0.646	0.000	0.000	0.000	0.000	0.000	0.679	0.000	0.000	0.000	0.000	0.701	0.700	0.000	1.124	0.728	0.755	0.000	0.792	0.819	0.000	0.000	0.849	0.000	0.886	0.000	0.000	0.000
OSR1	0.000	0.000	0.431	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.530	0.000	0.000	0.000	0.000	0.000	0.548	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.592	0.000	0.000	0.000	0.000	0.000	0.597	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
OSR2	0.350	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.446	0.000	0.000	0.000	0.466	0.000	0.000	0.000	0.493	0.000	0.497	0.499	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.515	0.000	0.000	0.000	0.530	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.597	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.628	0.646	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.747	0.000	0.000	0.784	0.000	0.000	0.000	0.000	0.000	0.000	0.000
OXTR	0.984	0.000	0.000	1.143	0.000	0.435	0.000	0.764	0.000	0.000	0.000	0.000	0.466	0.000	0.000	0.000	0.000	0.000	0.497	0.499	0.000	1.619	0.509	0.000	0.000	0.000	0.000	0.000	0.000	0.875	0.878	1.503	0.000	1.135	1.669	1.384	0.000	0.901	2.481	0.000	0.000	1.706	0.914	0.000	0.000	0.000	0.000	0.583	0.597	0.000	0.956	0.000	0.000	0.964	0.000	1.782	0.000	0.000	0.000	2.419	0.000	0.000	0.000	0.000	0.626	1.013	0.000	0.000	0.000	0.000	0.641	1.325	0.676	0.000	0.000	0.000	0.000	1.105	1.391	0.711	0.000	0.000	0.000	0.000	1.849	1.477	0.000	1.532	1.569	0.000	0.000	0.000	1.346	0.000	1.690	0.000	1.407
P2RX7	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
PA2G4	1.369	1.477	1.307	1.759	0.444	1.777	1.622	1.491	1.704	1.806	1.513	1.351	1.937	1.231	1.250	1.262	1.807	2.244	1.581	1.586	2.250	1.308	2.116	1.735	2.139	1.483	1.614	0.853	1.984	2.312	2.083	1.886	1.881	1.135	1.908	1.556	1.670	2.279	2.024	1.165	1.373	1.834	1.943	1.839	0.926	2.065	1.952	1.879	1.775	1.223	1.610	0.961	1.618	1.899	1.771	1.244	1.617	1.910	1.627	2.160	1.276	1.666	1.008	1.667	0.626	1.834	1.292	1.695	2.442	1.533	1.525	2.008	1.581	1.745	2.040	2.538	2.084	2.206	1.614	2.335	2.211	1.804	2.232	1.640	1.849	1.706	1.694	1.229	1.804	1.218	1.756	1.301	0.000	1.902	1.690	0.000	1.970
PAG1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
PAICS	0.984	0.000	0.731	0.957	0.000	1.158	1.008	1.613	0.753	1.182	0.779	0.763	0.783	1.231	0.809	0.490	0.821	1.587	1.439	0.000	1.450	1.308	1.606	1.099	0.859	0.860	1.614	0.853	0.000	1.334	1.134	0.875	1.126	1.339	0.890	0.000	0.542	1.811	0.548	0.904	0.905	1.180	1.384	1.564	1.398	0.929	0.563	1.217	2.019	0.587	0.588	0.961	0.962	1.234	0.595	1.244	0.592	0.600	1.627	0.995	1.491	0.999	1.008	0.620	1.499	1.505	0.631	1.022	1.504	0.646	0.641	1.044	0.676	1.344	1.352	1.365	1.102	1.105	1.391	0.000	0.701	1.108	1.416	0.000	0.728	0.000	1.694	0.000	1.263	0.784	1.222	1.301	0.885	0.886	1.373	0.000	0.000
