GeneSymbol	A21_05_C2_P5_627989	A21_05_C2_P5_128351	A21_05_C2_P5_307432	A21_05_C2_P5_162218	A21_05_C2_P5_755916	A21_05_C2_P5_787444	A21_05_C2_P5_352352	A21_05_C2_P5_438815	A21_05_C2_P5_70683	A21_05_C2_P5_232986	A21_05_C2_P5_871915	A21_05_C2_P5_142405	A21_05_C2_P5_383696	A21_05_C2_P5_190510	A21_05_C2_P5_859759	A21_05_C2_P5_617183	A21_05_C2_P5_576934	A21_05_C2_P5_283019	A21_05_C2_P5_596460	A21_05_C2_P5_654803	A21_05_C2_P5_253471	A21_05_C2_P5_506975	A21_05_C2_P5_239328	A21_05_C2_P5_317515	A21_05_C2_P5_195085	A21_05_C2_P5_683878	A21_05_C2_P5_414797	A21_05_C2_P5_170324	A21_05_C2_P5_51980	A21_05_C2_P5_504840	A21_05_C2_P5_200807	A21_05_C2_P5_300103	A21_05_C2_P5_845053	A21_05_C2_P5_123870	A21_05_C2_P5_484043	A21_05_C2_P5_417735	A21_05_C2_P5_768487	A21_05_C2_P5_657834	A21_05_C2_P5_296097	A21_05_C2_P5_117136	A21_05_C2_P5_80111	A21_05_C2_P5_703673	A21_05_C2_P5_176254	A21_05_C2_P5_338209	A21_05_C2_P5_620018	A21_05_C2_P5_95513	A21_05_C2_P5_195159	A21_05_C2_P5_296009	A21_05_C2_P5_236272	A21_05_C2_P5_159230	A21_05_C2_P5_821263	A21_05_C2_P5_273470	A21_05_C2_P5_303651	A21_05_C2_P5_394590	A21_05_C2_P5_137247	A21_05_C2_P5_345140	A21_05_C2_P5_432962	A21_05_C2_P5_811488	A21_05_C2_P5_506171	A21_05_C2_P5_538224	A21_05_C2_P5_830809	A21_05_C2_P5_750516	A21_05_C2_P5_230762	A21_05_C2_P5_454049	A21_05_C2_P5_800935	A21_05_C2_P5_525352	A21_05_C2_P5_536476	A21_05_C2_P5_689338	A21_05_C2_P5_762880	A21_05_C2_P5_856701	A21_05_C2_P5_528842	A21_05_C2_P5_405914	A21_05_C2_P5_514433	A21_05_C2_P5_159909	A21_05_C2_P5_382146	A21_05_C2_P5_432396	A21_05_C2_P5_646775	A21_05_C2_P5_384399	A21_05_C2_P5_135343	A21_05_C2_P5_135361	A21_05_C2_P5_822297	A21_05_C2_P5_380835	A21_05_C2_P5_81754	A21_05_C2_P5_148457	A21_05_C2_P5_35506	A21_05_C2_P5_284533	A21_05_C2_P5_28165	A21_05_C2_P5_634752	A21_05_C2_P5_625288
JPT1	0.864	1.063	0.914	0.914	0.000	1.587	1.736	1.885	1.248	1.609	0.000	0.000	0.615	0.000	1.022	0.646	0.640	0.000	0.000	1.355	0.679	1.081	1.085	1.388	1.375	0.705	1.128	0.000	1.126	1.660	0.715	0.000	1.139	1.514	0.728	1.696	0.731	0.000	1.155	1.886	0.752	0.747	1.461	0.000	1.176	0.000	1.169	1.208	2.180	1.726	0.000	0.764	0.765	1.212	0.783	1.518	0.000	1.760	0.000	0.000	0.803	1.254	1.249	0.805	1.265	0.000	0.000	1.579	0.000	1.301	0.859	0.000	0.855	0.864	0.867	1.895	0.875	1.439	1.764	0.984	0.000	1.497	1.505	1.516	0.000	0.000	1.635	1.668	1.178
JPT2	0.377	1.063	1.383	0.914	0.561	0.938	0.000	0.587	0.603	1.609	0.996	0.000	0.615	0.000	0.000	0.646	0.640	0.650	1.056	0.000	0.679	0.000	0.683	0.694	0.686	0.000	0.715	0.000	0.000	1.141	0.715	1.138	0.000	0.780	0.000	0.000	0.000	0.739	0.736	0.000	0.752	0.747	0.000	0.000	0.000	0.000	1.169	0.000	0.000	0.000	0.769	1.193	0.765	0.000	0.783	0.783	0.787	1.226	0.000	0.000	0.000	0.812	0.000	0.805	0.821	0.000	0.000	1.814	0.000	0.000	1.314	0.000	1.309	0.864	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.012	0.000	1.038	0.000	1.120	0.000	0.000
JUN	1.190	0.000	0.000	0.558	1.180	0.000	0.000	0.954	0.000	0.000	1.270	0.991	0.000	0.643	1.978	0.646	1.028	1.718	0.000	0.000	0.679	1.366	0.683	0.000	0.000	0.705	1.128	1.127	0.000	1.434	0.715	0.723	0.000	0.780	1.664	0.000	1.149	0.000	0.736	0.751	0.000	0.000	1.165	1.701	1.176	0.000	1.693	1.208	0.000	0.768	0.769	0.000	0.000	0.000	0.000	0.000	0.000	1.226	0.000	0.000	1.243	0.000	0.000	0.000	0.000	0.834	0.000	0.000	0.000	0.000	0.000	0.000	0.855	0.000	0.867	0.881	0.875	0.000	1.440	1.471	0.000	1.006	0.000	0.000	0.000	0.000	0.000	0.000	1.178
JUP	0.000	0.000	0.000	0.558	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.715	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.077	0.000	0.000	0.000
KCND2	0.000	0.490	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.587	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.672	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.723	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.324	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.120	0.000	0.000
KCNE4	0.000	0.817	0.000	0.000	1.180	0.575	0.000	0.587	0.603	0.587	1.812	0.000	0.000	0.000	0.637	0.000	1.028	0.650	0.661	0.000	0.000	0.680	0.000	1.793	0.000	0.000	0.000	0.000	0.714	0.000	0.000	0.000	1.431	0.780	1.144	0.748	0.731	0.000	0.000	0.751	1.176	1.170	0.000	0.000	0.000	1.192	0.000	1.927	0.000	0.768	0.000	0.000	0.765	0.780	0.783	0.000	0.000	0.790	0.806	0.000	0.000	0.000	0.000	0.000	0.821	0.000	0.827	0.000	0.000	0.849	0.000	0.000	0.000	0.000	0.000	0.000	0.875	0.000	1.440	0.000	0.986	0.000	0.000	0.000	0.000	1.077	1.120	0.000	0.000
KCNH1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.694	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.764	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KCNJ2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KCNK2	0.377	1.063	0.000	1.383	0.561	0.000	0.576	0.587	0.603	0.000	0.617	0.000	0.615	1.032	0.000	0.000	1.854	0.000	0.661	0.000	0.000	0.680	1.085	0.000	0.000	0.705	0.000	1.127	0.000	0.725	0.000	0.000	0.723	0.000	1.438	1.171	0.000	0.739	0.000	2.043	0.752	0.000	0.000	0.000	0.751	0.000	1.169	0.776	0.000	0.768	0.769	0.000	0.000	0.000	0.000	1.217	0.787	0.000	0.806	0.000	0.803	1.254	0.000	0.000	0.000	0.000	1.274	0.826	0.000	0.000	0.859	0.869	0.000	0.000	0.000	0.000	2.240	0.959	0.000	0.000	0.000	0.000	0.000	1.021	0.000	0.000	1.120	0.000	0.000
KCNK6	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.587	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.028	0.000	0.661	0.000	0.679	1.081	0.000	1.100	0.000	0.705	0.000	0.000	0.000	0.725	0.000	0.000	0.723	0.780	0.000	1.171	0.000	0.000	0.736	0.000	0.000	0.000	0.000	0.000	0.751	0.764	0.000	0.000	0.000	0.768	0.000	0.764	0.765	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.821	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.960	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.147	0.000
KCNMA1	0.650	0.000	0.914	0.000	0.000	0.575	0.000	0.587	0.000	0.000	0.617	0.000	1.266	0.000	0.000	0.000	0.000	0.650	0.000	0.000	0.000	0.680	0.000	0.000	0.000	0.000	0.000	0.000	0.714	0.000	0.000	0.000	0.000	0.000	0.728	0.000	1.149	0.000	1.155	0.000	1.176	0.747	0.000	0.000	0.000	0.000	0.000	0.776	0.752	0.000	0.769	0.000	0.765	0.000	0.783	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.864	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.006	0.000	0.000	0.000	0.000	0.000	0.000	1.704
KCNQ1OT1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.686	0.000	0.000	0.000	0.000	0.000	0.715	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.787	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KCNQ5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.705	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.739	0.736	0.000	0.000	0.000	0.744	0.000	0.000	0.000	0.746	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.803	0.000	0.000	0.000	0.000	0.000	0.000	0.826	0.000	0.000	1.314	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.038	0.000	0.000	0.000	0.000
KCTD12	0.650	0.490	2.769	1.555	1.180	0.000	0.000	0.587	0.603	0.000	0.996	0.991	1.481	0.000	1.696	0.646	1.702	0.650	0.000	1.757	0.000	2.173	1.371	0.694	1.375	1.628	1.644	0.000	0.000	0.000	1.419	0.000	0.000	0.780	1.144	1.881	1.669	0.000	1.450	0.751	0.000	1.467	1.165	2.298	0.000	0.000	0.000	0.000	1.176	0.768	0.000	0.000	0.000	0.000	1.518	1.518	1.222	0.000	0.000	0.000	0.000	0.812	0.000	0.000	0.000	0.834	0.000	0.000	0.851	0.849	0.000	2.369	0.000	0.000	0.000	0.000	1.334	0.000	0.000	0.000	0.986	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.178
KHDRBS3	0.000	0.000	0.000	0.000	0.000	0.000	0.576	0.587	0.000	0.000	0.617	0.000	0.000	0.000	0.000	0.646	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.725	0.000	0.723	0.000	0.780	0.000	0.000	0.000	0.000	0.000	0.751	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.851	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KIAA0586	0.377	0.817	0.000	0.000	0.000	0.000	0.576	0.000	0.000	0.587	0.617	0.613	0.615	0.000	0.637	1.035	0.000	1.320	0.000	0.672	0.000	0.000	0.683	0.000	1.375	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.739	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.192	0.000	0.000	0.000	0.000	0.000	1.193	0.000	0.000	0.783	0.000	1.222	0.790	0.000	0.796	1.243	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.301	0.000	0.000	0.000	0.000	0.000	0.000	0.875	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KIF11	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.756	0.603	0.000	0.000	0.000	0.993	0.000	1.022	1.035	0.000	0.000	0.000	0.000	1.586	0.000	0.000	0.000	0.686	0.000	0.000	0.000	0.000	0.000	0.715	0.723	0.000	0.000	1.144	0.000	0.731	0.000	0.000	0.000	0.000	1.467	0.000	0.000	1.176	0.000	0.746	0.000	0.752	0.000	0.000	0.000	0.000	0.000	1.217	0.000	1.222	0.790	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.272	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.875	0.000	0.000	0.000	0.000	0.000	0.000	1.021	1.038	0.000	1.635	1.147	0.000
KIF14	0.000	1.063	0.000	0.914	0.000	0.000	0.000	1.222	0.977	1.223	0.000	0.000	0.993	0.000	1.022	1.035	0.000	0.000	0.000	0.672	0.679	0.000	0.000	0.000	1.779	0.000	0.000	0.000	0.000	0.000	0.000	0.723	0.000	0.000	0.000	0.000	1.149	1.454	1.450	0.000	0.000	0.747	0.000	0.751	0.000	0.000	0.000	0.000	0.752	0.000	0.000	0.000	0.000	1.514	0.783	0.000	1.524	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.579	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.875	0.000	0.000	0.984	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KIF15	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.587	0.603	0.955	0.000	0.000	0.000	0.000	0.000	0.646	0.000	0.000	0.000	0.000	0.679	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.728	0.000	0.000	0.000	1.155	0.000	0.000	0.747	0.744	0.000	0.751	0.000	0.746	0.000	0.000	0.000	0.000	0.764	0.000	0.780	0.000	0.000	0.000	0.000	0.000	0.796	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.851	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KIF18A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.222	0.000	0.000	0.617	0.000	0.615	0.643	0.000	1.533	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.725	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.170	0.000	0.000	0.751	0.000	0.746	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.803	0.000	0.000	0.000	0.000	0.000	0.000	1.272	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KIF18B	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.954	0.000	0.955	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.679	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.780	0.000	0.000	0.731	0.000	0.736	0.000	0.000	0.747	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.796	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.120	0.000	0.000
KIF20A	0.864	0.490	0.000	0.000	0.000	0.000	0.000	1.222	0.977	0.955	0.996	0.000	0.993	0.000	0.000	1.712	0.640	0.650	0.000	0.672	0.000	0.680	0.683	1.100	1.375	0.705	0.000	0.000	0.714	0.000	0.715	1.430	0.000	0.780	0.000	0.748	1.149	0.739	1.450	0.000	0.000	1.695	1.165	0.000	0.751	0.000	0.000	0.776	0.752	0.000	0.769	0.764	0.000	1.212	1.217	1.518	1.222	1.226	0.806	0.000	0.000	0.000	0.808	0.805	0.000	1.590	0.000	0.000	0.000	0.000	0.859	0.869	0.000	0.864	0.867	0.000	0.000	0.000	0.000	0.984	0.986	0.000	1.012	0.000	1.038	0.000	1.635	0.000	0.000
KIF20B	1.040	0.490	0.000	0.914	0.561	1.204	0.000	1.885	1.248	1.757	0.617	0.000	1.481	0.000	1.300	1.533	0.000	0.650	0.000	2.043	1.365	0.000	0.000	0.000	1.597	0.000	0.000	0.000	0.000	0.000	1.127	1.430	0.000	0.000	0.000	0.000	1.669	1.682	1.155	0.000	0.000	1.170	0.744	0.000	1.176	0.000	1.169	0.776	0.000	0.000	1.198	1.721	0.765	1.514	0.000	0.000	0.787	0.000	0.000	1.233	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.814	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.334	0.000	1.440	0.000	1.473	1.497	1.012	1.021	1.536	0.000	1.635	0.000	0.000
KIF21A	0.377	0.000	0.558	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.637	0.000	0.640	0.000	0.000	0.000	0.000	0.000	0.683	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.736	0.000	0.000	0.747	0.000	0.000	0.000	0.764	0.000	1.208	0.000	0.000	0.000	0.000	0.765	0.000	0.783	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.808	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.875	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KIF22	0.000	0.000	0.000	0.000	0.561	0.000	0.000	0.954	0.000	0.587	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.683	0.000	0.686	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.747	0.000	0.000	0.000	0.764	1.169	0.000	0.000	0.000	0.000	0.764	0.000	0.000	0.783	0.783	0.787	0.000	0.000	0.000	0.803	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KIF23	1.321	0.000	0.000	0.558	0.000	0.575	0.000	1.433	0.977	1.757	0.617	0.000	1.481	0.000	0.637	1.863	0.000	0.650	0.661	0.672	1.921	0.000	0.000	0.000	1.779	0.000	0.000	0.000	0.714	0.000	0.000	1.138	0.000	0.780	0.000	0.000	1.442	1.682	0.736	0.000	0.000	1.467	0.744	0.000	1.176	0.000	1.465	0.000	0.000	0.000	1.198	1.193	0.765	0.780	0.000	0.000	0.787	0.000	0.806	0.796	0.000	0.000	0.000	0.000	0.000	1.590	0.000	1.579	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.497	1.505	1.021	1.038	0.000	1.120	1.147	0.000
KIF26A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KIF26B	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.472	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.867	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KIF2C	0.650	0.000	0.000	0.558	0.000	0.000	0.000	0.954	0.000	0.000	0.000	0.000	1.266	0.000	1.300	0.646	0.000	0.000	0.000	0.000	1.365	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.714	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.739	0.000	0.000	0.000	0.747	0.000	0.000	1.176	0.000	0.746	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.787	0.000	0.000	0.796	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.834	0.000	0.000	0.000	0.000	0.000	0.000
KIF4A	0.650	0.000	0.000	0.914	0.000	0.000	0.576	0.954	0.000	0.955	0.000	0.000	1.266	0.643	0.637	1.314	0.000	0.650	0.000	1.071	0.000	0.680	0.000	0.000	0.686	0.000	0.000	0.000	0.714	0.000	1.644	0.000	0.000	0.000	0.000	0.000	0.731	0.739	0.736	0.000	0.000	0.000	0.000	1.175	0.000	0.000	0.746	0.000	0.000	0.768	0.000	1.193	1.492	0.000	0.000	0.000	1.524	0.790	0.000	0.796	0.803	0.000	0.000	1.245	0.000	0.000	0.000	1.272	0.000	0.849	1.314	0.000	0.855	1.320	0.000	0.000	0.000	0.000	0.960	0.000	0.986	1.006	1.012	1.021	1.038	0.000	1.120	0.000	0.000
KIF5B	1.797	1.425	2.044	1.176	1.560	2.475	0.939	2.563	1.916	2.196	2.058	0.991	1.938	1.859	2.458	2.216	1.524	2.002	1.558	1.910	1.768	1.081	2.284	1.611	2.819	2.218	2.118	1.418	1.826	1.141	2.236	1.996	1.431	1.514	1.664	1.881	2.263	2.918	2.474	1.700	0.752	2.037	1.689	1.472	2.405	1.192	1.465	1.208	2.180	2.326	1.728	2.524	1.722	2.090	2.232	1.217	1.524	0.790	0.000	1.769	1.547	0.000	1.787	1.783	1.806	2.314	0.827	1.814	2.042	1.611	1.314	2.069	1.620	1.870	2.067	1.342	1.334	1.762	0.960	0.984	2.044	1.497	1.505	1.516	1.536	2.168	1.635	1.147	2.047
KIFC1	0.864	0.000	0.000	0.000	0.561	0.000	0.000	0.954	0.000	1.434	0.000	0.000	0.615	0.000	1.022	0.646	0.000	0.000	0.000	0.672	1.365	0.000	0.000	0.694	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.138	0.000	0.000	0.000	0.000	0.731	0.739	0.736	0.000	0.000	1.467	0.744	0.000	0.751	0.000	0.746	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.783	0.000	0.790	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.986	1.497	1.012	1.021	0.000	0.000	0.000	0.000	0.000
KLF10	1.321	1.063	0.000	0.000	0.000	0.000	0.939	0.587	0.603	0.000	1.485	0.000	0.993	0.643	0.000	0.646	1.702	0.000	0.000	1.071	0.000	0.000	0.000	0.694	0.000	0.705	0.000	1.418	0.000	0.000	0.000	0.000	0.723	0.780	1.849	0.000	1.149	1.454	1.677	0.751	0.000	0.000	1.165	1.175	0.751	1.192	0.000	0.000	1.176	1.496	0.000	0.000	0.000	0.780	0.000	1.217	1.222	0.790	0.000	0.000	0.000	0.812	2.135	0.000	0.821	0.000	0.827	0.000	2.042	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.886	0.000	0.960	0.000	0.986	0.000	0.000	1.021	2.314	1.077	0.000	0.000	1.178
KLF17	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
KLF2	1.040	1.063	1.176	0.000	0.561	1.734	1.415	0.000	0.000	0.000	0.996	0.613	0.000	0.000	1.300	0.000	1.028	0.000	1.056	0.000	1.080	0.000	0.000	0.694	0.000	1.114	1.983	0.000	0.714	1.434	1.127	0.000	0.000	0.000	1.144	0.748	0.731	1.454	0.736	2.178	0.752	1.170	0.000	1.175	1.176	0.764	0.000	1.208	0.000	0.000	1.497	0.000	0.765	0.000	0.000	0.000	0.000	0.000	1.551	1.233	0.000	1.793	1.787	0.000	1.572	1.282	0.000	0.000	0.000	0.000	0.000	0.869	0.855	0.000	1.324	0.000	0.875	0.959	1.440	0.000	1.473	0.000	0.000	1.021	1.867	2.168	1.120	2.008	1.178
