GeneSymbol	A21_05_C3_P5_438326	A21_05_C3_P5_80000	A21_05_C3_P5_675243	A21_05_C3_P5_39323	A21_05_C3_P5_540516	A21_05_C3_P5_675883	A21_05_C3_P5_795538	A21_05_C3_P5_192610	A21_05_C3_P5_201880	A21_05_C3_P5_426236	A21_05_C3_P5_119081	A21_05_C3_P5_243946	A21_05_C3_P5_677988	A21_05_C3_P5_722696	A21_05_C3_P5_385496	A21_05_C3_P5_555709	A21_05_C3_P5_160648	A21_05_C3_P5_114001	A21_05_C3_P5_631908	A21_05_C3_P5_341331	A21_05_C3_P5_810696	A21_05_C3_P5_451659	A21_05_C3_P5_167316	A21_05_C3_P5_730545	A21_05_C3_P5_4191	A21_05_C3_P5_306948	A21_05_C3_P5_799333	A21_05_C3_P5_51050
RUNX1	0.762	0.248	0.474	0.685	1.162	0.000	0.940	0.805	0.967	1.000	0.356	0.637	0.653	1.208	0.669	0.000	1.339	1.418	0.427	1.162	0.444	0.739	1.195	0.457	0.000	0.776	0.470	0.832
RUNX1T1	0.377	0.000	0.265	0.000	0.549	0.553	0.329	0.602	0.799	0.000	0.000	0.848	0.653	0.385	0.669	0.918	0.446	0.420	0.725	0.000	0.985	0.000	1.195	0.770	0.759	0.461	0.470	0.000
S100A10	2.247	2.152	1.139	2.022	1.685	1.622	2.338	1.459	1.624	1.582	1.486	1.415	1.441	1.057	1.831	1.707	1.339	1.127	1.756	1.457	1.701	1.159	1.003	1.729	1.713	2.154	2.105	2.014
S100A16	1.435	1.179	1.395	1.453	1.457	1.933	1.206	1.711	1.349	1.146	1.143	1.415	1.544	1.339	0.390	1.611	1.339	1.418	1.434	0.741	1.175	1.454	0.766	1.200	1.484	1.369	1.030	1.446
S100A2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.438	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
S100A4	2.847	1.848	2.400	1.527	2.203	2.127	1.416	2.994	2.551	2.346	2.059	1.415	1.724	1.057	1.974	1.948	1.476	2.177	2.307	2.336	1.175	1.778	2.572	1.998	2.057	2.395	2.566	0.500
S100A6	3.730	3.786	3.800	3.328	3.796	3.907	3.990	3.477	3.268	3.393	3.889	3.289	3.597	3.723	3.355	3.627	3.712	3.298	3.410	4.297	2.708	3.176	2.615	3.255	3.400	3.449	3.644	3.471
S1PR1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.342	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.457	0.000	0.000	0.000	0.000
S1PR3	0.206	0.447	0.000	0.000	0.312	0.000	0.000	0.345	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SACS	0.000	0.248	0.265	0.283	0.312	0.314	0.000	0.805	0.000	0.000	0.356	0.000	0.379	0.385	0.390	0.000	0.446	0.420	0.725	0.000	0.000	0.971	0.000	0.457	0.450	0.000	0.470	0.000
SALL4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SAMD9	0.206	0.248	0.000	0.283	0.741	0.314	0.000	0.000	0.000	0.000	0.356	0.368	0.000	0.000	0.390	0.000	0.754	0.000	0.427	0.741	0.000	0.000	0.000	0.000	0.759	0.000	0.470	0.000
SAMHD1	0.377	0.447	0.265	0.504	0.549	1.168	0.000	0.805	0.596	0.357	0.618	0.848	0.868	1.339	0.390	0.918	0.989	0.714	0.954	0.438	1.175	0.436	0.000	1.008	0.000	0.000	0.470	0.500
SAPCD2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SASS6	0.000	0.000	0.000	0.000	0.000	0.314	0.000	0.000	0.342	0.620	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.455	0.000	0.000	0.000	0.000	0.000
SAT1	0.377	0.879	0.000	0.000	0.312	0.000	0.000	0.602	0.000	0.000	0.356	0.000	1.045	1.057	0.888	0.406	0.446	0.000	0.427	1.162	0.751	0.436	1.195	0.000	0.759	1.015	0.000	1.081
SCARA3	0.956	1.262	1.232	1.087	1.162	0.553	1.507	1.246	1.237	0.000	1.741	1.915	1.638	0.385	1.467	1.100	0.446	1.537	0.725	0.438	1.472	1.454	1.615	1.499	1.186	1.369	1.225	1.280
SCD	0.649	0.000	0.795	0.838	0.549	0.746	0.577	0.975	0.342	1.582	1.384	2.148	0.000	0.000	1.467	0.694	1.179	0.942	0.000	0.438	1.335	1.778	1.355	1.827	0.450	1.207	1.650	0.832
SCG2	0.000	0.000	0.000	0.000	0.312	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.390	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SCG5	0.000	0.612	0.000	0.000	0.000	0.314	0.000	0.000	0.000	0.357	0.356	0.000	0.653	1.057	0.669	0.000	0.989	0.714	0.000	0.741	0.000	0.000	0.455	0.000	0.000	0.000	0.470	0.000
SCLT1	0.206	0.447	0.265	0.504	0.549	0.000	0.000	0.345	0.967	0.000	0.618	0.000	0.379	0.000	0.888	0.694	0.446	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SCN2A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.368	0.000	0.000	0.390	0.000	0.000	0.000	0.000	0.438	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SCN9A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.602	0.000	0.000	0.356	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SCRG1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SCUBE3	0.000	0.000	0.000	0.838	0.549	0.000	0.000	0.345	0.342	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.186	0.000	0.000	1.081
SDC1	0.000	0.000	0.265	0.504	0.549	0.553	0.775	0.602	0.596	0.357	0.618	0.368	0.000	0.000	1.067	0.000	0.446	0.420	0.427	0.000	0.985	0.739	0.766	0.457	0.759	1.207	1.030	0.000
SDF2L1	0.377	0.447	0.000	0.000	0.741	0.000	0.000	0.000	0.000	0.620	0.356	0.000	0.653	0.000	0.888	0.694	0.446	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.470	0.000
SEC11C	0.000	0.000	0.000	0.000	0.312	0.000	0.000	0.345	0.000	0.357	0.356	0.368	0.000	0.000	0.000	0.406	0.000	0.942	0.000	0.000	0.000	0.436	0.455	0.000	0.000	0.461	0.000	0.000
SECTM1	0.206	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.461	0.470	0.000
SEL1L3	0.522	0.612	0.000	0.283	0.312	0.000	0.000	0.000	0.342	0.357	0.356	0.000	0.000	0.000	0.000	0.406	0.000	0.000	0.000	0.000	0.000	0.436	0.000	0.000	0.000	0.000	0.000	0.500
SELENOP	0.377	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.848	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SEMA3A	0.206	0.612	0.474	0.000	0.741	0.000	0.000	0.000	0.342	0.828	0.000	0.368	0.379	0.000	0.000	0.406	0.754	0.000	0.000	0.000	0.000	0.000	0.455	0.457	0.000	0.000	0.789	0.000
SEMA3C	0.522	0.612	1.232	1.527	0.549	1.375	0.775	0.345	1.349	1.582	1.271	0.637	1.803	0.662	0.669	0.694	0.000	0.420	0.427	0.974	1.175	0.739	0.000	0.457	1.605	0.000	1.030	1.923
SEMA3D	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.669	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SEMA3G	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SEMA5A	0.000	0.754	1.232	1.192	1.162	0.314	0.775	1.358	0.342	0.620	0.825	0.848	0.653	0.385	0.390	0.918	0.989	0.942	1.434	0.438	0.000	0.739	0.766	0.770	0.000	1.207	0.000	1.588
SEMA6A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SEMA6D	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SEMA7A	0.377	0.000	1.139	0.970	1.040	1.046	0.329	0.000	0.000	1.146	0.000	0.368	0.653	0.385	0.390	0.000	0.000	1.283	0.725	0.741	0.000	0.436	0.000	0.000	0.995	1.015	0.000	0.000
SEPTIN11	2.222	1.973	2.643	2.469	3.033	2.081	2.542	2.737	2.612	2.260	2.112	1.517	2.368	1.740	2.758	2.305	2.749	2.289	2.359	2.796	2.179	2.331	1.724	2.533	2.057	2.340	2.105	2.591
SEPTIN6	0.522	0.248	0.474	0.685	0.312	0.553	0.000	0.000	0.342	0.357	0.356	0.000	0.000	0.385	0.888	0.406	0.754	0.420	0.000	0.000	0.000	0.000	0.000	0.770	0.450	0.000	0.470	0.000
SERINC2	0.762	0.248	0.265	0.000	0.741	1.277	0.775	1.246	0.596	1.000	0.000	0.637	0.868	1.057	0.000	0.406	0.000	0.714	0.427	1.162	0.000	0.436	0.455	0.000	0.759	0.000	1.030	0.500
SERINC5	0.206	0.000	0.000	0.000	0.312	0.000	0.000	0.000	0.342	0.000	0.000	0.368	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.455	0.000	0.000	0.000	0.000	0.000
SERPINB7	0.377	0.000	0.265	0.283	0.000	0.314	0.329	0.000	0.967	0.000	0.618	0.000	0.000	0.000	0.390	0.000	0.754	0.000	0.000	0.438	0.000	0.000	0.455	0.000	0.000	1.015	0.000	0.000
SERPINB9	0.000	0.000	0.000	0.283	0.000	0.314	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SERPINE1	1.797	2.084	1.714	1.660	1.614	2.522	2.032	2.838	2.299	2.063	2.529	1.696	2.278	2.295	0.669	2.487	0.989	1.982	2.000	0.000	0.000	1.454	1.195	0.457	1.713	1.207	2.654	1.446
SERPINE2	0.762	0.989	0.923	0.685	0.312	1.168	0.577	2.179	0.596	0.620	0.825	0.000	1.045	0.000	0.669	1.794	0.000	1.127	0.954	0.000	0.000	0.436	0.455	0.000	0.995	1.630	2.029	1.081
SERPING1	0.377	0.612	0.474	0.000	0.741	0.314	0.577	0.000	0.342	0.000	0.356	0.368	0.653	0.662	1.067	0.406	1.891	0.714	1.434	0.438	0.444	0.739	0.766	0.457	0.450	0.461	0.470	0.832
SERPINI1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SERTAD4	0.000	0.248	0.000	0.283	0.000	0.553	0.000	0.000	0.342	0.000	0.000	0.000	0.000	0.000	0.000	1.255	0.000	0.000	0.000	0.000	0.000	0.436	0.766	0.000	0.000	0.000	0.000	0.832
SERTAD4-AS1	0.000	0.000	0.648	0.504	0.000	0.000	0.000	0.345	0.342	0.357	0.000	0.000	0.379	0.662	0.669	0.406	0.446	0.000	0.427	0.000	0.985	0.000	0.766	0.000	0.000	0.000	0.000	0.000
SERTM1	0.206	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SESN3	0.206	0.248	0.474	0.000	1.040	0.553	0.329	0.000	0.000	0.000	0.997	0.368	0.653	1.057	0.000	0.000	0.000	0.000	0.427	0.438	1.335	0.000	0.455	0.457	0.995	0.461	0.000	0.000
SFN	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SFPQ	0.522	0.879	0.474	0.000	0.902	0.553	0.775	1.119	1.237	1.146	0.825	1.611	0.653	0.662	0.888	1.707	0.754	1.283	0.725	0.000	0.751	1.574	0.455	1.361	0.995	0.461	1.030	0.832
SFRP1	0.000	0.000	0.000	0.000	0.000	0.314	0.000	0.000	0.342	0.357	0.000	0.368	0.000	0.879	0.390	0.000	0.000	0.942	0.000	0.000	2.043	0.000	0.455	0.000	1.981	1.369	0.000	1.081
SFRP2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.438	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SFRP4	1.488	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SGK1	0.377	0.248	0.000	0.283	0.312	0.314	0.000	0.975	0.596	0.000	0.997	0.848	0.379	0.662	0.390	0.000	0.446	0.714	0.427	0.000	0.000	0.739	0.766	0.000	0.995	0.461	0.789	0.500
SGO1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SGO2	0.000	0.248	0.000	0.000	0.000	0.314	0.000	0.000	0.342	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.420	0.000	0.000	0.000	0.000	0.000	0.000	0.450	0.776	0.000	0.000
SH2B3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.828	0.000	0.000	0.379	0.000	0.000	0.000	0.000	0.000	0.427	0.438	0.444	0.000	0.455	0.000	0.450	0.461	0.470	0.500
SH3BGRL3	3.264	3.260	3.194	3.460	3.195	3.234	3.287	3.280	2.827	3.033	3.088	2.724	2.785	3.522	2.696	2.487	3.157	2.678	3.080	3.268	2.708	3.105	3.226	2.813	3.039	2.857	2.846	3.081
SH3PXD2A	1.190	1.598	1.866	1.192	1.614	1.933	0.329	1.634	0.596	1.744	1.143	1.023	1.803	0.000	1.905	1.611	0.754	1.283	0.954	2.097	1.887	1.681	1.494	1.008	1.186	1.508	1.030	1.588
SHC2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SHCBP1	0.000	0.248	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SHOX2	0.377	0.000	0.000	0.504	0.000	0.000	0.000	0.000	0.342	0.000	0.000	0.000	0.000	1.339	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SHROOM2	0.000	0.000	0.000	0.000	0.000	0.000	0.329	0.345	0.000	0.357	0.000	0.000	0.000	0.000	0.390	0.000	0.000	0.000	0.000	0.000	0.444	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SIGLEC15	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.455	0.000	0.000	0.000	0.000	0.000
SIM1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.368	0.000	0.000	0.390	0.406	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SIPA1L2	0.000	0.248	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SIX1	0.000	0.000	0.265	0.000	0.000	0.746	0.000	0.000	0.342	0.000	0.000	0.000	0.000	0.662	0.669	0.000	0.000	0.000	0.000	0.438	0.000	0.000	0.000	0.457	0.000	0.461	0.000	0.832
SIX2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.751	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SKA1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SKA3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SKIL	0.377	0.248	0.923	1.287	0.312	0.314	0.940	0.805	0.967	0.000	0.618	0.637	0.000	0.385	0.888	0.406	0.000	0.942	0.427	0.974	0.000	0.000	1.195	0.000	0.450	0.776	0.470	0.500
SKP2	0.206	0.248	0.265	1.374	0.902	0.553	0.000	0.000	1.237	0.620	0.618	0.000	0.000	0.385	0.000	0.694	0.754	1.127	0.000	0.000	0.000	0.436	0.000	0.000	0.450	0.000	0.000	0.000
SLA	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SLC14A1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SLC16A1-AS1	0.000	0.000	0.000	0.838	0.000	0.000	0.000	0.000	0.342	0.620	0.000	0.000	0.000	0.385	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.455	0.000	0.000	0.000	0.000	0.000
SLC16A14	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.390	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SLC16A4	0.000	0.000	0.265	0.000	0.000	0.000	0.000	0.345	0.000	0.357	0.356	0.000	0.379	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.461	0.789	0.000
SLC16A6	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SLC1A1	0.377	0.000	0.000	0.685	0.000	0.314	0.329	0.805	0.000	0.000	0.000	0.000	0.000	0.662	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.500
SLC20A1	0.377	0.612	1.232	0.000	1.614	0.746	0.000	0.602	0.000	0.357	0.618	0.368	0.379	0.879	0.000	0.406	0.446	0.714	0.427	0.438	0.000	0.436	0.455	0.000	1.346	0.461	0.000	0.000
SLC25A13	0.206	0.000	0.000	0.838	0.312	0.000	0.000	0.000	0.342	0.000	0.618	0.368	0.379	0.000	0.000	0.000	0.000	0.420	0.427	0.000	0.000	0.000	0.000	0.770	0.000	0.000	0.000	0.000
SLC26A4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.356	0.368	0.000	0.385	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SLC29A1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.357	0.000	0.000	0.000	0.000	0.000	0.406	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SLC2A8	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SLC35F4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SLC38A1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.368	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.436	0.000	0.000	0.450	0.000	0.000	0.000
SLC38A2	0.649	1.598	1.535	0.283	1.368	1.464	2.130	1.634	1.701	0.828	1.271	1.023	2.664	1.740	1.351	2.142	2.048	1.643	0.725	1.162	2.179	1.948	1.615	1.621	1.346	0.776	1.857	2.312
SLC39A14	0.206	0.612	0.795	0.504	0.312	0.314	0.577	0.345	0.799	0.828	0.356	0.368	0.379	0.662	0.669	0.918	0.754	0.420	0.427	0.741	0.000	0.436	0.455	0.457	0.759	0.776	0.789	0.000
SLC3A2	0.377	0.447	0.000	0.000	0.549	0.000	0.000	0.345	0.342	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.438	0.000	0.436	0.000	0.000	0.450	0.000	0.470	0.832
SLC40A1	0.377	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.446	0.000	0.427	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SLC43A2	0.000	0.447	0.000	0.000	0.312	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.427	0.438	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SLC43A3	0.000	0.000	0.000	0.000	0.000	0.000	0.329	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.446	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SLC5A3	0.000	0.000	0.648	0.000	0.000	0.000	0.000	0.000	0.000	0.357	0.356	0.000	0.000	0.000	0.000	0.000	0.446	0.420	0.725	0.000	0.751	0.000	0.000	0.000	0.000	0.461	0.000	0.000
SLC6A6	0.522	0.248	0.265	0.000	0.312	0.000	0.000	0.000	0.000	0.000	0.356	0.368	0.000	0.385	0.390	0.000	0.000	0.714	0.000	0.000	0.000	0.436	0.000	0.000	0.000	0.000	0.000	0.000
SLC7A1	0.000	0.000	0.000	0.000	0.000	0.314	0.329	0.602	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.438	0.000	0.971	0.455	0.457	0.000	0.000	0.470	0.000
SLC7A11	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SLC7A14	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.436	0.000	0.000	0.000	0.000	0.000	0.000
SLC7A5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.489	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SLC7A8	0.377	0.000	0.000	0.000	0.312	0.000	0.000	0.000	0.342	0.357	0.000	0.000	0.000	0.000	0.000	0.406	0.000	0.000	0.000	0.741	0.751	0.000	0.000	0.457	0.000	0.000	0.000	0.000
SLC8A1	0.000	0.000	0.000	0.000	0.000	0.314	0.577	0.805	0.000	0.000	0.356	0.368	0.000	0.000	0.390	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SLCO5A1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SLF1	0.000	0.000	0.265	0.000	0.549	0.000	0.000	0.000	0.000	0.357	0.000	0.368	0.000	0.000	0.000	0.000	0.000	0.714	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SLIRP	0.956	1.089	1.599	1.660	1.040	1.046	1.317	0.805	0.342	0.620	1.271	1.415	1.441	1.455	0.888	1.100	0.446	0.942	1.141	0.741	0.751	0.739	1.494	0.770	1.186	0.461	1.225	1.446
SLIT2	0.377	0.754	1.139	0.685	1.457	0.746	1.416	1.246	1.624	1.274	1.578	1.300	0.868	0.662	1.067	0.918	1.891	1.418	0.954	1.162	0.985	2.023	1.724	1.499	0.759	1.015	1.225	0.000
SLIT3	0.377	0.447	0.265	0.000	0.000	0.000	0.000	0.000	0.000	0.357	0.000	0.368	0.000	0.000	0.000	0.000	0.446	0.000	0.725	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.470	0.000
SLITRK4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.368	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SMC1A	0.000	0.000	0.000	0.000	0.741	0.314	0.000	0.345	0.000	0.000	0.000	0.000	0.000	0.385	0.000	0.000	0.000	0.420	0.000	0.438	0.000	0.000	0.455	0.000	0.000	0.461	0.000	0.500
SMC1B	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
SMC2	0.000	0.248	0.474	0.504	0.000	0.553	0.000	0.000	0.342	0.620	0.356	0.848	0.000	0.662	0.669	0.000	0.000	0.000	0.000	0.000	0.444	0.436	0.000	0.000	0.000	0.000	0.000	0.000
