GeneSymbol	A21_05_C3_P5_438326	A21_05_C3_P5_80000	A21_05_C3_P5_675243	A21_05_C3_P5_39323	A21_05_C3_P5_540516	A21_05_C3_P5_675883	A21_05_C3_P5_795538	A21_05_C3_P5_192610	A21_05_C3_P5_201880	A21_05_C3_P5_426236	A21_05_C3_P5_119081	A21_05_C3_P5_243946	A21_05_C3_P5_677988	A21_05_C3_P5_722696	A21_05_C3_P5_385496	A21_05_C3_P5_555709	A21_05_C3_P5_160648	A21_05_C3_P5_114001	A21_05_C3_P5_631908	A21_05_C3_P5_341331	A21_05_C3_P5_810696	A21_05_C3_P5_451659	A21_05_C3_P5_167316	A21_05_C3_P5_730545	A21_05_C3_P5_4191	A21_05_C3_P5_306948	A21_05_C3_P5_799333	A21_05_C3_P5_51050
CYP26B1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CYP2D7	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CYP46A1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CYP7B1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.368	0.000	0.000	0.000	0.406	0.000	0.000	0.427	0.000	0.444	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CYTL1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.455	0.000	0.000	0.000	0.000	0.000
DAAM2	0.000	0.000	0.000	0.283	0.000	0.907	0.329	0.000	0.000	0.357	0.356	0.000	0.000	0.662	0.390	0.694	0.446	0.000	0.427	0.000	0.000	0.000	0.000	0.000	0.000	0.776	0.000	0.000
DAB1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
DAB2	1.435	1.973	1.912	2.182	2.203	1.878	2.479	2.462	1.349	2.167	2.562	2.198	2.178	2.714	2.260	1.707	2.358	2.389	1.434	0.741	1.175	2.023	1.992	1.729	1.605	2.588	1.947	1.713
DACT1	0.206	0.000	0.474	0.000	0.312	0.314	0.000	0.345	0.799	0.000	0.356	0.000	0.379	0.385	0.000	0.000	0.000	0.000	0.000	0.000	0.444	0.000	0.000	0.000	0.450	0.000	0.000	0.500
DAPK1	0.000	0.248	0.000	0.000	0.000	0.000	0.329	0.000	0.000	0.357	0.000	0.000	0.000	0.000	0.000	0.406	0.000	0.000	0.427	0.000	0.000	0.000	0.455	0.000	0.000	0.000	0.000	0.000
