GeneSymbol	A21_05_C2_P5_545951	A21_05_C2_P5_384994	A21_05_C2_P5_221712	A21_05_C2_P5_601556	A21_05_C2_P5_49590	A21_05_C2_P5_118756	A21_05_C2_P5_203250	A21_05_C2_P5_654053	A21_05_C2_P5_883316	A21_05_C2_P5_70210	A21_05_C2_P5_549054	A21_05_C2_P5_426546	A21_05_C2_P5_594341	A21_05_C2_P5_463199	A21_05_C2_P5_848473	A21_05_C2_P5_709356	A21_05_C2_P5_871294	A21_05_C2_P5_568837	A21_05_C2_P5_326028	A21_05_C2_P5_74255	A21_05_C2_P5_458390	A21_05_C2_P5_638128	A21_05_C2_P5_12534	A21_05_C2_P5_602273	A21_05_C2_P5_474110	A21_05_C2_P5_365897	A21_05_C2_P5_876552	A21_05_C2_P5_709733	A21_05_C2_P5_436945	A21_05_C2_P5_1191	A21_05_C2_P5_473595	A21_05_C2_P5_618353	A21_05_C2_P5_631078	A21_05_C2_P5_762777	A21_05_C2_P5_711218	A21_05_C2_P5_94948	A21_05_C2_P5_441382	A21_05_C2_P5_145873	A21_05_C2_P5_319708	A21_05_C2_P5_560698	A21_05_C2_P5_716471	A21_05_C2_P5_884718
MAN1C1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.839	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MANF	0.371	1.365	1.486	0.833	1.126	0.868	0.878	0.887	0.897	1.354	0.542	0.914	0.560	1.189	0.934	0.000	1.723	0.583	0.593	0.000	0.615	0.617	1.030	1.053	0.663	1.060	1.358	0.675	1.088	1.120	1.147	0.000	0.000	0.000	0.000	0.000	0.851	0.860	0.872	0.958	0.000	0.000
MAP1B	2.346	2.584	2.831	2.247	2.234	2.368	1.134	2.816	2.019	2.336	2.733	3.154	2.375	1.846	2.800	2.837	2.793	2.614	2.636	2.484	1.659	2.160	2.735	2.020	2.143	1.743	2.268	2.364	1.779	1.411	2.706	1.436	2.386	2.006	2.552	2.309	2.758	1.316	1.644	2.629	1.456	3.431
MAP2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.569	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MAP3K21	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MAP3K5	0.000	0.000	0.000	0.000	0.000	0.868	0.532	0.000	0.000	0.000	0.542	0.000	0.000	0.000	0.000	0.000	0.569	0.000	0.593	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.727	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MAP7D3	0.000	0.000	0.997	0.000	0.527	0.000	0.532	0.539	0.897	1.525	1.355	0.914	0.000	0.000	0.000	0.928	0.930	0.949	0.963	0.613	0.000	0.617	0.642	0.000	0.663	1.060	1.073	1.359	0.685	0.000	0.000	1.143	0.000	1.274	0.000	0.831	0.851	0.000	0.000	2.005	0.000	0.000
MARCKS	1.704	1.921	2.195	2.099	1.880	1.638	2.383	1.350	2.535	1.909	2.404	2.618	2.225	1.718	1.581	2.881	1.965	2.094	2.012	2.246	1.659	0.995	2.611	1.335	1.894	2.028	1.358	1.074	1.088	1.974	2.464	1.436	2.026	2.630	2.024	1.278	2.341	0.860	1.331	2.005	2.650	2.395
MARCKSL1	0.000	0.459	0.000	0.000	0.000	0.525	0.000	0.000	0.000	0.000	0.000	0.558	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.617	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.120	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MARK1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MASP1	0.000	0.000	0.000	0.000	0.000	0.000	0.532	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.934	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.727	0.741	0.000	0.000	0.000	0.000	0.000	0.000	0.958	0.000	0.000
MASTL	0.371	0.773	0.000	0.000	0.871	0.000	0.532	0.000	0.000	0.542	0.000	0.914	0.560	0.000	0.572	0.000	0.930	0.949	0.000	0.613	0.000	0.000	0.000	0.000	0.663	0.000	0.000	0.000	0.000	0.000	0.000	0.727	0.000	0.000	0.839	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MATN2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MBOAT2	0.371	0.773	0.997	0.833	1.642	1.494	0.532	1.350	1.362	1.525	1.355	0.914	0.560	0.926	1.408	0.928	1.576	1.600	0.963	0.613	0.000	1.484	1.030	0.659	1.341	1.342	1.073	1.074	0.685	0.000	1.147	1.143	0.000	0.000	0.839	1.278	1.304	0.860	0.872	1.761	0.972	1.096
MBP	0.000	0.000	1.348	0.501	1.126	0.000	0.878	0.887	0.546	0.542	0.542	0.000	0.560	0.000	0.000	0.000	0.569	0.583	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.675	0.000	0.000	0.000	0.727	0.000	1.274	0.839	0.831	0.000	0.000	0.000	0.958	0.000	0.000
MCAM	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.542	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.963	0.000	0.994	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.727	0.000	0.000	0.000	0.831	0.000	0.000	0.000	0.000	0.000	0.000
MCM10	0.000	0.000	0.000	0.000	1.126	1.122	0.000	0.000	0.000	0.000	0.542	0.000	0.560	0.000	0.572	1.401	0.000	0.583	0.000	0.000	0.615	1.269	1.030	0.000	0.000	0.000	0.000	0.000	0.000	0.710	1.147	0.000	0.000	0.000	0.000	0.831	0.000	0.860	0.000	0.000	0.000	0.000
MCM2	0.371	0.000	0.000	0.000	0.871	1.122	0.000	0.887	0.000	0.000	0.000	0.000	0.916	0.000	0.572	0.568	1.194	1.216	0.000	0.000	0.615	0.000	0.000	0.000	0.000	0.664	0.000	0.000	0.000	1.120	0.730	0.000	0.000	0.827	0.000	0.000	0.000	0.000	0.000	0.958	0.000	0.000
MCM3	0.371	0.459	0.000	0.000	0.871	0.000	1.891	0.000	0.546	0.000	0.000	0.000	0.916	0.566	1.408	1.574	1.194	1.427	0.000	0.000	0.615	0.000	1.309	0.000	0.000	0.000	0.674	0.000	0.000	1.636	0.730	0.000	0.000	1.816	0.000	0.000	0.000	1.865	0.000	0.958	0.000	0.000
MCM4	0.000	1.204	0.451	1.082	1.498	0.868	0.878	1.145	0.000	0.000	0.542	0.000	1.558	0.566	0.934	1.193	1.723	0.000	0.593	0.613	0.000	1.484	1.309	0.659	0.000	0.000	0.000	0.000	0.000	1.120	1.147	0.727	0.000	1.816	0.000	0.831	0.000	1.316	0.000	0.958	0.000	0.000
MCM5	0.000	0.000	0.000	0.000	0.527	1.122	0.000	0.539	0.000	0.000	0.000	0.000	0.916	0.566	0.000	0.568	0.000	0.583	0.000	0.613	0.615	0.000	0.642	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.727	0.000	0.827	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MCM6	0.000	0.000	0.000	0.000	1.126	1.122	0.878	0.000	0.000	0.542	0.000	0.000	0.916	0.000	0.572	1.193	0.569	0.949	0.000	0.000	0.000	1.269	1.527	0.000	0.000	0.000	0.000	0.000	0.000	1.120	0.730	0.000	0.000	1.581	0.839	1.278	0.000	0.860	0.000	0.000	0.000	0.000
MCM7	0.000	0.459	0.000	0.000	1.126	0.000	1.134	0.000	0.546	0.000	0.542	0.000	1.386	0.000	1.408	0.928	0.930	0.949	0.000	0.000	1.267	0.617	0.000	0.000	0.663	0.000	0.000	1.359	0.000	1.120	0.730	0.727	0.000	0.827	0.000	0.831	0.851	0.860	0.000	0.958	0.000	0.000
MCM8	0.000	0.459	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.558	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.617	0.642	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.831	0.000	0.000	0.000	0.000	0.000	0.000
MDK	0.000	0.000	0.000	0.501	0.871	0.000	0.878	0.000	0.546	0.542	0.542	0.000	0.560	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.663	0.000	0.000	0.000	0.000	0.000	0.730	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.958	0.000	0.000
MDM2	0.642	0.459	0.761	0.501	0.527	0.525	0.000	0.539	0.000	0.000	0.000	0.000	0.560	0.000	0.572	0.928	0.569	0.583	0.593	0.000	0.000	0.617	0.000	0.000	0.000	1.060	1.358	1.359	0.000	0.000	0.000	0.727	0.000	0.827	0.000	0.000	0.851	0.000	0.872	0.000	0.000	1.096
MEDAG	0.000	1.011	0.761	0.000	0.527	1.494	0.878	1.665	0.546	0.891	0.000	0.000	0.560	0.566	0.572	0.000	0.569	0.000	1.233	0.990	0.000	1.269	0.000	0.000	0.000	1.342	0.674	1.074	1.088	1.120	0.730	1.436	0.000	0.827	1.289	0.000	0.851	0.000	0.000	0.958	0.000	0.000
MEF2C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.120	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MEG3	0.000	0.459	0.000	0.000	0.000	0.525	0.532	0.000	0.546	0.542	0.000	0.914	0.000	0.000	0.572	0.000	0.569	0.000	0.000	0.613	0.000	1.269	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.872	0.958	0.000	0.000
MELK	1.029	1.365	0.997	0.501	0.871	0.868	0.878	0.887	1.156	0.000	1.355	0.558	0.560	1.398	1.408	0.568	0.930	0.583	0.593	0.613	1.267	1.269	0.000	0.000	0.663	0.664	1.073	0.675	0.685	0.710	0.730	0.000	1.161	1.816	0.839	0.000	0.000	0.860	0.000	0.000	0.972	1.607
MEOX2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.572	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MEST	0.000	0.000	0.451	1.082	0.000	0.868	1.134	0.887	0.546	0.000	1.150	0.000	0.000	0.000	0.000	0.568	0.569	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.827	0.000	0.000	0.000	0.860	0.872	0.000	1.456	0.000
MET	0.000	0.000	0.451	0.501	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.560	0.000	0.572	0.568	0.930	0.000	0.593	0.000	0.000	0.617	1.030	0.000	0.000	0.000	0.674	0.000	1.088	0.000	0.000	0.000	0.741	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MEX3A	0.371	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MFAP4	0.854	0.459	0.000	0.000	0.527	2.068	0.000	0.000	0.000	0.000	0.000	0.000	0.916	0.000	0.572	0.000	0.930	0.000	0.593	0.990	0.000	0.000	0.642	0.000	1.341	0.000	0.674	0.675	0.685	0.000	0.000	0.000	0.741	0.000	0.000	0.000	0.851	0.000	0.872	0.000	0.000	1.096
MFAP5	2.104	2.668	2.562	2.313	2.790	2.827	2.712	2.629	2.476	2.102	2.103	2.299	3.125	3.035	3.217	1.721	2.244	2.094	2.746	2.837	2.937	2.893	2.105	2.502	3.496	2.835	2.737	2.738	2.876	2.108	2.706	2.701	1.870	2.630	2.965	2.309	3.051	2.930	3.086	2.629	3.108	3.041
MFGE8	0.854	1.504	1.348	0.000	0.000	0.525	0.532	1.145	0.546	1.149	0.000	0.914	0.560	0.926	1.729	0.000	1.403	0.000	1.768	0.990	1.267	0.995	0.000	0.659	1.058	0.664	0.674	1.074	1.597	0.000	0.000	1.143	0.741	1.816	0.000	0.000	0.000	1.865	1.331	0.000	1.456	1.607
MGLL	0.371	0.459	1.348	0.833	1.329	0.525	1.134	1.350	0.000	1.354	0.891	1.176	0.560	0.000	1.408	0.568	1.194	0.000	0.963	0.990	0.000	0.000	1.527	0.659	0.663	1.060	0.000	1.074	0.000	0.000	0.730	1.143	0.000	1.581	0.000	1.278	0.000	0.860	0.000	1.438	1.456	0.000
MGP	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.685	0.000	0.000	0.000	1.457	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MIAT	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MICAL2	1.423	1.734	1.188	1.925	1.642	2.430	2.757	1.520	1.678	1.670	2.187	1.555	1.833	1.718	1.971	1.849	2.244	1.216	1.619	1.263	0.994	2.254	1.857	2.137	1.341	1.563	1.760	1.580	2.471	1.411	2.706	2.003	1.457	1.274	1.289	2.806	1.851	2.057	1.882	2.005	0.000	1.607
MIR1244-2	2.157	1.921	1.607	2.434	1.498	1.122	1.891	2.398	2.196	2.011	1.355	1.555	1.558	2.154	2.329	2.693	1.965	1.992	2.012	2.049	2.158	2.254	1.989	2.241	2.429	2.145	2.046	2.047	1.933	2.428	1.852	2.362	1.684	2.006	1.598	2.430	1.851	2.057	2.605	2.927	2.650	1.607
MIR34AHG	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MIR503HG	0.000	0.000	0.000	0.000	0.000	0.525	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.654	0.000	0.000	0.000	0.000	1.058	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MIS18A	0.000	0.000	0.451	0.833	0.527	0.525	0.000	0.539	0.546	0.542	1.525	1.384	0.560	0.000	0.000	0.000	0.930	0.583	0.000	0.613	0.000	0.617	0.000	0.000	1.058	0.000	0.000	0.675	0.685	0.000	0.000	0.727	0.000	0.000	0.000	0.000	0.000	0.000	0.872	0.958	0.000	0.000
MIS18BP1	1.178	1.011	1.188	1.082	0.871	0.525	0.000	0.000	0.546	0.542	1.355	1.830	0.000	0.566	0.572	0.568	0.930	1.216	0.593	1.263	0.994	1.484	0.000	1.335	0.663	0.000	0.674	0.675	0.685	1.411	0.730	0.727	0.000	0.000	0.000	0.000	1.304	0.860	0.000	0.000	0.000	0.000
MIXL1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MKI67	2.468	1.365	2.059	2.016	0.871	0.868	0.532	0.887	1.678	1.354	2.103	2.562	0.560	1.846	1.729	1.721	1.403	1.216	1.233	2.049	0.994	1.269	1.030	2.020	1.741	1.896	1.358	1.359	1.375	0.000	1.852	1.663	1.457	2.006	1.834	1.586	0.851	0.000	1.882	1.438	0.000	2.194
MLLT11	0.000	1.365	0.000	0.000	0.000	0.000	0.532	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.572	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.730	0.000	0.000	0.000	0.000	0.831	0.000	0.000	0.000	0.000	0.972	0.000
MME	1.029	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.542	0.000	0.000	0.000	0.926	0.000	0.000	0.000	0.583	0.963	0.613	0.000	0.000	1.030	0.000	1.341	0.000	0.000	0.675	0.685	0.710	0.000	0.000	0.000	0.000	0.000	0.000	1.304	0.000	0.000	0.000	0.000	0.000
MMP1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.930	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.685	0.000	0.000	0.727	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MMP11	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MMP12	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MMP14	1.178	1.204	1.813	0.833	0.871	1.325	0.532	0.539	1.678	1.525	0.542	2.045	0.560	1.570	0.934	1.849	1.576	0.583	1.768	1.654	0.615	1.484	1.527	1.335	1.341	2.145	1.073	1.761	0.685	1.819	1.147	0.727	1.161	1.581	2.649	0.831	1.304	0.860	1.331	1.438	0.972	2.395
MMP16	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.542	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.617	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.147	0.000	0.000	0.000	0.000	0.000	0.851	0.000	0.000	0.000	0.000	0.000
MMP2	2.468	2.335	1.813	1.448	2.701	2.301	1.778	2.005	0.897	1.797	2.011	2.299	2.621	1.570	2.073	2.243	1.723	1.878	2.513	2.049	1.482	2.794	2.735	2.336	1.894	1.743	1.073	0.675	2.758	2.226	2.632	2.003	2.860	0.000	3.092	1.822	2.042	2.218	1.644	1.761	2.221	0.000
MMP3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MMP9	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MMS22L	0.371	0.000	0.000	0.501	0.000	0.525	0.000	0.539	0.546	0.000	0.000	0.000	0.916	0.000	0.572	0.568	0.000	0.583	0.000	0.000	0.000	0.617	0.000	0.000	0.000	0.000	1.073	0.000	1.088	0.000	0.000	0.727	0.000	0.827	0.839	0.000	0.000	0.000	0.000	0.958	0.000	0.000
MN1	0.000	0.000	0.451	0.000	0.527	0.000	0.000	0.539	0.000	0.000	0.000	0.000	0.000	0.000	0.934	0.928	0.000	0.000	0.000	0.613	0.000	0.617	0.000	0.659	0.000	0.000	1.579	0.000	1.088	0.000	0.000	0.727	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MND1	0.000	0.459	0.000	0.833	0.000	0.525	0.532	0.000	0.000	0.000	0.000	0.558	0.000	0.000	0.572	0.000	0.000	0.000	0.593	0.613	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.675	0.000	0.000	0.000	0.000	0.000	1.274	0.000	0.831	0.851	0.860	0.000	0.000	0.000	0.000
MNS1	0.000	0.000	0.451	0.000	0.000	0.525	0.000	0.000	0.000	0.000	0.542	0.000	0.000	0.566	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.617	0.642	0.000	0.663	0.000	0.000	0.000	0.000	0.000	0.000	0.727	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MOXD1	1.308	1.011	1.188	0.833	0.000	1.122	0.000	1.145	0.546	0.000	1.355	0.558	0.916	0.000	1.581	1.721	0.569	0.000	0.000	1.804	1.267	0.000	0.000	0.000	0.000	1.743	0.000	0.675	1.933	0.710	0.000	1.436	1.161	2.006	0.839	0.831	0.851	1.316	0.000	0.958	1.456	0.000
MROH8	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MRPS6	0.371	0.773	0.000	0.000	0.527	0.868	0.532	1.145	0.546	0.000	1.150	0.558	0.000	0.566	0.000	0.000	0.569	0.000	0.000	0.000	0.615	0.000	0.642	1.053	0.000	0.664	0.000	0.000	0.685	0.710	0.000	0.000	1.161	0.000	0.000	0.000	0.000	0.000	0.872	0.000	0.000	0.000
MRTO4	0.642	0.459	0.000	0.000	1.126	0.000	0.878	0.887	0.897	0.542	0.542	0.914	0.000	0.566	0.000	0.568	0.930	0.949	0.000	0.000	0.615	0.995	0.000	0.659	0.000	0.664	0.674	0.675	0.000	0.000	1.147	0.000	0.741	0.827	1.289	0.831	0.851	0.860	0.000	1.438	0.000	0.000
MRVI1	0.000	0.000	0.000	0.000	0.000	0.525	0.000	0.000	0.000	0.542	0.000	0.000	0.000	0.000	0.572	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.831	0.851	0.000	0.000	0.000	0.000	0.000
MSMO1	0.371	0.000	0.761	0.501	0.000	0.868	0.000	0.000	0.546	0.000	0.000	0.000	0.000	1.189	0.000	0.000	0.000	0.000	0.000	1.263	0.615	0.000	0.000	0.000	0.000	0.000	0.674	0.675	0.685	0.000	0.000	0.000	0.741	1.581	0.839	0.000	0.851	0.000	0.872	0.000	0.000	0.000
MSX1	0.371	0.459	0.000	0.000	0.000	0.000	0.000	0.000	0.546	0.891	0.000	0.000	0.000	0.000	1.199	0.000	0.569	0.949	0.963	0.000	0.000	0.000	0.642	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.727	0.000	0.000	0.839	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MT-RNR1	2.505	2.818	2.256	2.592	2.305	2.301	2.883	3.044	2.591	2.733	2.265	2.439	3.526	2.389	2.329	3.002	2.585	2.671	2.977	3.058	2.681	3.343	2.304	2.769	3.524	3.580	3.008	3.143	3.317	2.515	3.288	2.770	2.570	2.425	2.322	2.172	1.851	3.241	3.086	2.201	2.650	2.194
MT1A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.542	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.675	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.831	0.000	0.000	0.000	0.000	0.000	0.000
MT1E	0.642	1.504	1.188	1.925	0.871	0.525	1.338	0.539	0.897	2.102	0.000	0.914	0.000	0.926	0.000	1.401	0.000	0.583	0.000	0.613	1.482	0.995	0.642	0.659	0.000	0.664	0.000	0.675	0.685	1.120	0.000	1.663	0.741	0.827	0.000	1.586	0.851	0.860	0.000	0.958	0.000	0.000
MT1L	0.000	0.459	0.000	0.000	0.527	0.000	0.000	0.000	0.000	0.542	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.583	0.000	0.613	0.000	0.000	0.642	0.000	0.000	0.664	0.674	0.000	0.000	0.000	0.000	0.000	0.000	0.827	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MT2A	1.988	2.979	2.986	2.729	0.527	1.494	2.167	2.858	2.535	3.016	2.265	2.137	0.916	3.606	1.971	3.815	2.695	2.724	2.513	1.804	2.681	1.661	2.897	1.053	1.341	3.275	1.358	2.798	3.121	2.108	2.368	3.591	1.457	3.286	2.184	2.636	1.615	2.478	1.644	2.201	2.221	1.607
MTCO1P29	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
MTFR2	0.000	0.000	0.451	0.501	0.527	0.525	0.532	0.000	0.000	0.000	0.542	0.000	0.560	0.000	0.572	0.000	0.000	0.000	0.593	0.000	0.615	0.617	0.642	0.000	0.000	0.000	0.000	0.675	0.000	0.000	0.000	0.000	0.000	0.827	0.000	0.000	0.851	0.000	0.000	0.958	0.972	0.000
MTHFD1	0.000	0.459	0.451	0.501	0.527	0.000	0.532	0.539	0.897	0.000	0.542	0.000	0.560	0.000	0.000	1.193	0.930	1.600	0.000	0.000	0.000	0.617	1.309	0.000	0.000	0.000	0.000	1.359	0.000	0.710	0.730	1.143	0.000	0.827	0.000	0.000	0.000	0.860	0.872	0.958	0.000	0.000
